pid,year,journal_title,titulo,razao_do_screen,motivo
S1981-38212025000200202,2025,Brazilian Political Science Review,When Democracy Divides the Electorate: Voting in the 2022 Brazili...,Modelagem estatística,"The article uses explanatory language and regression models to analyze vote choice, but the suppl..."
S1981-38212025000200203,2025,Brazilian Political Science Review,Machiavelli against Imperialism: a Critique of Roman Expansionism...,Somente qualitativo,The article is a political-theory and history-of-ideas text rather than a conventional empirical ...
S1981-38212025000200204,2025,Brazilian Political Science Review,The Political Theology of Alberto Pasqualini: Christian Solidaris...,Somente qualitativo,The article is primarily interpretive intellectual history rather than conventional empirical soc...
S1981-38212025000200702,2025,Brazilian Political Science Review,Brazil's Journey Against Illegal Mining,Alegação causal + análise quantitativa,The quantitative classification is a borderline case because the article relies heavily on compil...
S1981-38212025000300201,2025,Brazilian Political Science Review,Punctuated Equilibrium Theory and the Dynamics of Change in Brazi...,Alegação causal + análise quantitativa,The article self-describes the methodology as qualitative and quantitative and previews econometr...
S1981-38212025000300202,2025,Brazilian Political Science Review,Does Greater Women&#8217;s Presence Make a Difference? The Compos...,Modelagem estatística,"The article uses causal and effect language and estimates beta regression models, but it explicit..."
S1981-38212025000300204,2025,Brazilian Political Science Review,State-Level Implementation of the Secondary Education Reform in B...,Quantitativo descritivo,"The article is explicitly framed as qualitative, but it also maps all 27 states into implementati..."
S2236-57102023000100205,2023,Cadernos Gestão Pública e Cidadania,A AGENDA DE PESQUISA DA BUROCRACIA DE NÍVEL DE RUA NO CONTEXTO DA...,Modelagem estatística,A decisão difícil é classificar a análise bibliométrica com VOSviewer. O texto apresenta redes e ...
S2236-57102023000100206,2023,Cadernos Gestão Pública e Cidadania,Mapeando a pesquisa de desenho de políticas públicas: uma revisão...,Modelagem estatística,"The article is a systematic literature review, which could be non-empirical if it only summarized..."
S2236-57102023000100207,2023,Cadernos Gestão Pública e Cidadania,INTERSETORIALIDADE E POLÍTICAS PÚBLICAS PARA AS JUVENTUDES: CONTR...,Quantitativo descritivo,"O artigo é uma revisão/mapeamento bibliográfico, o que poderia ser confundido com literatura revi..."
S2236-57102023000100208,2023,Cadernos Gestão Pública e Cidadania,DETERMINANTES DOS PRAZOS DAS COMPRAS PÚBLICAS POR MEIO DE PREGÃO ...,Modelagem estatística,"O artigo usa linguagem de fatores determinantes, impacto e confirmação de hipóteses com regressão..."
S2236-57102023000100209,2023,Cadernos Gestão Pública e Cidadania,Percepções de gestores sobre parcerias entre negócios sociais e s...,Quantitativo descritivo,"The article is interview-centered and primarily qualitative, but it also tabulates managers' sele..."
S2236-57102023000100210,2023,Cadernos Gestão Pública e Cidadania,CAPACIDADES ESTATAIS E POLÍTICAS MUNICIPAIS DE EDUCAÇÃO DURANTE A...,Modelagem estatística,"O artigo usa linguagem de efeitos e regressões logísticas para explicar respostas municipais, mas..."
S2236-57102023000100212,2023,Cadernos Gestão Pública e Cidadania,A ATUAÇÃO DOS TRIBUNAIS DE CONTAS ESTADUAIS NA DEFINIÇÃO DOS GAST...,Quantitativo descritivo,"A principal ambiguidade é se as contagens simples de TCEs e categorias de posicionamento, derivad..."
S2236-57102023000100214,2023,Cadernos Gestão Pública e Cidadania,ANÁLISE DAS CAPACIDADES ESTATAIS MUNICIPAIS NA LITERATURA ACADÊMI...,Quantitativo descritivo,"O artigo é uma revisão bibliométrica, então poderia ser confundido com revisão de literatura não ..."
S2236-57102023000100217,2023,Cadernos Gestão Pública e Cidadania,PARTES INTERESSADAS INTERNAS E DESEMPENHO EM CONTRATAÇÕES PÚBLICA...,Quantitativo descritivo,"O artigo se autodeclara qualitativo e a análise central é por documentos e entrevistas, mas apres..."
S2236-57102023000100218,2023,Cadernos Gestão Pública e Cidadania,INTEGRAÇÃO DOS SISTEMAS DO TRANSPORTE PÚBLICO INTERMUNICIPAL DO R...,Quantitativo descritivo,"O artigo formula hipótese e fala em viés de subdeclaração, mas a análise empírica é apenas descri..."
S2236-57102023000100219,2023,Cadernos Gestão Pública e Cidadania,DEMANDA POR DADOS ABERTOS GOVERNAMENTAIS: UM ESTUDO COM DADOS DO ...,Quantitativo descritivo,"O artigo faz interpretações explicativas sobre pandemia, baixa participação da sociedade civil e ..."
S2236-57102023000100220,2023,Cadernos Gestão Pública e Cidadania,COMPETÊNCIAS NO SETOR PÚBLICO: PANORAMA DA PRODUÇÃO CIENTÍFICA (I...,Modelagem estatística,A principal ambiguidade é classificar uma revisão bibliométrica como empírica: ela é uma revisão ...
S2236-57102023000100400,2023,Cadernos Gestão Pública e Cidadania,SOLUÇÕES PARA PROBLEMAS PÚBLICOS EM JUÍZO: UMA PRÁTICA INTERDISCI...,Somente qualitativo,"O artigo menciona uma Tabela 1 sobre composição da equipe acadêmica, mas o corpo textual fornecid..."
S2236-57102023000100401,2023,Cadernos Gestão Pública e Cidadania,INSERÇÃO DE ECONOMISTAS NO CAMPO DE PÚBLICAS NO BRASIL: TRAJETÓRI...,Quantitativo descritivo,"O artigo usa documentos institucionais e currículos Lattes para construir a base, mas não faz aná..."
S2236-57102023000100402,2023,Cadernos Gestão Pública e Cidadania,"ACOLHIMENTO, DIVERSIDADE E IMPLEMENTAÇÃO DAS DIRETRIZES CURRICULA...",Somente qualitativo,"A vinheta do censo menciona questionário online, coleta de dados, processamento de resultados e n..."
S2236-57102023000100403,2023,Cadernos Gestão Pública e Cidadania,CAMPO DE PÚBLICAS NO BRASIL: DIAGNÓSTICO EXPLORATÓRIO REALIZADO P...,Modelagem estatística,A decisão central é classificar a análise textual com IRAMUTEQ como statistical_modeling. O artig...
S2236-57102023000100404,2023,Cadernos Gestão Pública e Cidadania,O ENSINO DE ADMINISTRAÇÃO PÚBLICA: ELEMENTOS PRELIMINARES DE UMA ...,Modelagem estatística,A classificação como mixed_empirical é uma decisão interpretativa: a análise original é clarament...
S2236-57102023000100405,2023,Cadernos Gestão Pública e Cidadania,ENCARCERAMENTO EM MASSA E PRÁTICAS EXTENSIONISTAS NO RIO GRANDE D...,Quantitativo descritivo,A principal ambiguidade é se os números e figuras baseados em fontes administrativas contam como ...
S2236-57102023000100406,2023,Cadernos Gestão Pública e Cidadania,POESIA E CORDEL NO CAMPO DE PÚBLICAS: APRENDIZADOS DE UMA PESQUIS...,Somente qualitativo,"O artigo é parcialmente ensaístico e técnico-artístico, com o cordel como objeto central, mas apr..."
S2236-57102023000100408,2023,Cadernos Gestão Pública e Cidadania,A TRAJETÓRIA INSTITUCIONAL DO PROGRAMA NACIONAL DE FORMAÇÃO EM AD...,Alegação causal + análise quantitativa,"A análise quantitativa é apenas descritiva, mas o artigo associa esses dados a hipóteses e alegaç..."
S2236-57102023000100409,2023,Cadernos Gestão Pública e Cidadania,A PESQUISA APLICADA PAUTANDO O PROCESSO DECISÓRIO EM POLÍTICAS PÚ...,Somente qualitativo,"O artigo menciona percentuais de surveys e números administrativos, mas esses elementos aparecem ..."
S2236-57102023000100800,2023,Cadernos Gestão Pública e Cidadania,O USO DOS INSTRUMENTOS FISCAIS PELO GOVERNO FEDERAL NO PÓS-LRF (2...,Quantitativo descritivo,"O artigo se autodefine como predominantemente qualitativo e documental, mas apresenta várias figu..."
S2236-57102023000100801,2023,Cadernos Gestão Pública e Cidadania,A GOVERNANÇA PÚBLICA DO CARNAVAL EM SALVADOR E RECIFE,Quantitativo descritivo,A classificação quantitativa é um ponto de julgamento porque o desenho central é documental e qua...
S2236-57102023000100802,2023,Cadernos Gestão Pública e Cidadania,O BRASIL DE BOLSONARO: UMA DEMOCRACIA SOB ESTRESSE,Quantitativo descritivo,"O texto é um ensaio e não descreve fonte, construção ou método das Figuras 1 e 2; ainda assim, co..."
S2236-57102024000100200,2024,Cadernos Gestão Pública e Cidadania,MOVIMENTO FEMINISTA E INTERSECCIONALIDADE: REPERTÓRIOS DE AÇÃO E ...,Somente qualitativo,"O artigo menciona vários números e percentuais sobre marchas, conferências, ministras e represent..."
S2236-57102024000100201,2024,Cadernos Gestão Pública e Cidadania,OLHAR DOS ESTUDOS ORGANIZACIONAIS PARA SE PENSAR A REFORMA DAS OR...,Não empírico,A introdução descreve um processo qualitativo de sistematização de literatura e menciona 137 arti...
S2236-57102024000100202,2024,Cadernos Gestão Pública e Cidadania,INCENTIVOS À TRANSIÇÃO DE CARREIRA DOS BUROCRATAS DE MÉDIO ESCALÃO,Quantitativo descritivo,"A principal evidência é qualitativa, mas o artigo também apresenta análise descritiva de processo..."
S2236-57102024000100203,2024,Cadernos Gestão Pública e Cidadania,"CONSTITUIÇÃO, EMENDAS CONSTITUCIONAIS E POLÍTICAS PÚBLICAS: A ATE...",Alegação causal + análise quantitativa,"O artigo é essencialmente descritivo e baseado em análise de conteúdo, mas usa linguagem explicat..."
S2236-57102024000100204,2024,Cadernos Gestão Pública e Cidadania,FATORES FISCAIS E SOCIOECONÔMICOS QUE AFETAM A CRIMINALIDADE NO B...,Modelagem estatística,"O artigo usa linguagem de impacto/efeito e modelos de painel com efeitos fixos e aleatórios, mas ..."
S2236-57102024000100205,2024,Cadernos Gestão Pública e Cidadania,ESTRUTURA E MECANISMOS DA GOVERNANÇA EM REDE NA IMPLEMENTAÇÃO DE ...,Somente qualitativo,"O artigo contém alguns números contextuais sobre população e OSCs, mas eles não constituem anális..."
S2236-57102024000100206,2024,Cadernos Gestão Pública e Cidadania,TRANSPARÊNCIA DOS BANCOS DE DESENVOLVIMENTO SUBNACIONAIS BRASILEI...,Quantitativo descritivo,"O artigo se autodefine como qualitativo e descritivo, mas a coleta codifica 33 itens em 0/1 e apr..."
S2236-57102024000100207,2024,Cadernos Gestão Pública e Cidadania,IDEOLOGIA IMPORTA? UMA ANÁLISE DOS PARECERES EMITIDOS PELOS TRIBU...,Modelagem estatística,"A ACM é uma técnica multivariada e justifica `statistical_modeling`, mas o artigo também tem fort..."
S2236-57102024000100208,2024,Cadernos Gestão Pública e Cidadania,"MUDANÇAS TECNOLÓGICAS, TRABALHO E DESIGUALDADES NA AMÉRICA LATINA...",Não empírico,"O artigo contém muitos indicadores secundários e menciona uma Figura 1, o que poderia sugerir aná..."
S2236-57102024000100209,2024,Cadernos Gestão Pública e Cidadania,LABORATÓRIOS DE INOVAÇÃO E BARREIRAS AO INTRAEMPREENDEDORISMO EM ...,Quantitativo descritivo,"O artigo se autodefine como qualitativo, mas inclui tabulação de respostas em escala Likert e cál..."
S2236-57102024000100211,2024,Cadernos Gestão Pública e Cidadania,SUS: USO DE EQUIPAMENTOS INOVADORES PARA DIAGNÓSTICO DO CÂNCER DE...,Modelagem estatística,"O artigo usa linguagem de impacto e estima modelo de efeitos fixos com dados em painel, mas não a..."
S2236-57102024000100212,2024,Cadernos Gestão Pública e Cidadania,PCC OU POLÍTICAS PÚBLICAS? UMA ANÁLISE DA REDUÇÃO DOS HOMICÍDIOS ...,Modelagem estatística,O artigo usa linguagem de grupo controle e grupo tratamento ao comparar quartis de distritos por ...
S2236-57102024000100400,2024,Cadernos Gestão Pública e Cidadania,CONEXÕES ENTRE CAPACIDADES BUROCRÁTICAS E BUROCRACIAS DE MÉDIO ES...,Quantitativo descritivo,A decisão central é tratar a scoping review como empírica e mista porque os autores constroem e a...
S2236-57102024000100402,2024,Cadernos Gestão Pública e Cidadania,SEM VÍNCULO PERMANENTE - CONDIÇÕES DE TRABALHO DOS CONTRATADOS NA...,Quantitativo descritivo,O artigo é majoritariamente documental e descritivo e afirma que não tem como objetivo estudar as...
S2236-57102024000100403,2024,Cadernos Gestão Pública e Cidadania,DECIFRANDO A ESFINGE DA BUROCRACIA SUBNACIONAL NO FEDERALISMO BRA...,Bivariado/correlação,A classificação como mixed_empirical depende de tratar a leitura e interpretação dos resumos filt...
S2236-57102024000100405,2024,Cadernos Gestão Pública e Cidadania,TRANSPARÊNCIA SOBRE DIRIGENTES PÚBLICOS ESTADUAIS: UMA ANÁLISE EX...,Quantitativo descritivo,O artigo contém linguagem sobre consequências da falta de transparência para democracia e polític...
S2236-57102024000100406,2024,Cadernos Gestão Pública e Cidadania,DESIGUALDADES DE GÊNERO E COR/RAÇA ENTRE OS DIRIGENTES MUNICIPAIS...,Desenho causal explícito,"O artigo usa CEM e linguagem de identificação de efeitos, o que sustenta registrar matching_or_we..."
S2236-57102024000100408,2024,Cadernos Gestão Pública e Cidadania,LUIZ CARLOS BRESSER-PEREIRA: UM INTELECTUAL PÚBLICO NACIONALISTA ...,Somente qualitativo,"O artigo é ensaístico e não explicita método qualitativo formal; ainda assim, ele usa substantiva..."
S2236-57102024000100418,2024,Cadernos Gestão Pública e Cidadania,INTEGRIDADE PÚBLICA: (DE)LIMITAÇÕES CONCEITUAIS E CAMINHOS PARA U...,Não empírico,"O artigo descreve uma revisão de literatura por conveniência e síntese de padrões, o que poderia ..."
S2236-57102024000100419,2024,Cadernos Gestão Pública e Cidadania,EM BUSCA DE UMA ÉTICA ADMINISTRATIVA PÓS-CONVENCIONAL NO CONTEXTO...,Não empírico,"The article mentions pesquisa bibliográfica, prior empirical studies, and the authors' profession..."
S2236-57102024000100420,2024,Cadernos Gestão Pública e Cidadania,Modelo de maturidade para avaliar a gestão de integridade nas con...,Quantitativo descritivo,"The authors describe the study as qualitative, but the Results section reports original descripti..."
S2236-57102024000100421,2024,Cadernos Gestão Pública e Cidadania,"INTEGRIDADE, ÉTICA E COMBATE À CORRUPÇÃO NO CAMPO DA ADMINISTRAÇÃ...",Não empírico,"O artigo discute normas federais e trajetórias institucionais, o que poderia ser visto como análi..."
S2236-57102024000100600,2024,Cadernos Gestão Pública e Cidadania,DESAFIOS PARA O ESTUDO COMPARADO DO FINANCIAMENTO DA SEGURANÇA PÚ...,Quantitativo descritivo,A principal ambiguidade é se o uso de organogramas e análise institucional deve contar como compo...
S2236-57102024000100800,2024,Cadernos Gestão Pública e Cidadania,COMPLIANCE E ISOMORFISMO MIMÉTICO DA LEI ANTICORRUPÇÃO NOS ESTADO...,Quantitativo descritivo,"O artigo usa linguagem explicativa e uma proposição sobre isomorfismo mimético, além de contagens..."
S2236-57102025000100200,2025,Cadernos Gestão Pública e Cidadania,Formação da agenda governamental de enfrentamento à violência con...,Somente qualitativo,The article includes tables and descriptive administrative numbers from legislative and judicial ...
S2236-57102025000100201,2025,Cadernos Gestão Pública e Cidadania,Efeito do monitoramento dos observatórios sociais nos gastos muni...,Desenho causal explícito,"The paper contains institutional descriptions and quoted material about observatory practices, bu..."
S2236-57102025000100202,2025,Cadernos Gestão Pública e Cidadania,Reforma do setor portuário brasileiro: Análise dos investimentos ...,Alegação causal + análise quantitativa,"The article is explicitly descriptive and has no causal identification design, but it also frames..."
S2236-57102025000100203,2025,Cadernos Gestão Pública e Cidadania,PORTAIS ELETRÔNICOS NA ACCOUNTABILITY: ABRINDO A &#8220;CAIXA-PRE...,Não empírico,"O artigo tem procedimento sistemático de busca e síntese de 51 estudos, o que é uma forma de anál..."
S2236-57102025000100204,2025,Cadernos Gestão Pública e Cidadania,ADMINISTRAÇÃO PÚBLICA 4.0 E OS CONCURSOS PARA CARREIRAS DA ÁREA E...,Quantitativo descritivo,"O artigo usa linguagem causal forte, como 'impacto da Administração Pública 4.0', mas a evidência..."
S2236-57102025000100205,2025,Cadernos Gestão Pública e Cidadania,FIQUE EM CASA! O DESEMPENHO DOS TRABALHADORES DURANTE A PANDEMIA ...,Modelagem estatística,"O artigo usa linguagem de impacto e modelagem estatística exploratória, mas não apresenta estraté..."
S2236-57102025000100206,2025,Cadernos Gestão Pública e Cidadania,GESTÃO PARTICIPATIVA E AS INTERAÇÕES DOS CONSELHOS MUNICIPAIS COM...,Somente qualitativo,"O texto informa contagens de movimentos, conselhos e cidades e remete a tabelas/figura, o que pod..."
S2236-57102025000100207,2025,Cadernos Gestão Pública e Cidadania,CUSTOS NO SETOR PÚBLICO: O CUSTO DO ABSENTEÍSMO NAS UNIDADES BÁSI...,Quantitativo descritivo,"O artigo faz algumas afirmações explicativas sobre desperdício, filas e relação entre oferta e ab..."
S2236-57102025000100209,2025,Cadernos Gestão Pública e Cidadania,A LUTA DE MULHERES PARA VIVEREM BEM JUNTAS! MOBILIZAÇÕES COLETIVA...,Quantitativo descritivo,"O artigo se declara qualitativo e sua análise substantiva é interpretiva, mas apresenta contagens..."
S2236-57102025000100210,2025,Cadernos Gestão Pública e Cidadania,A EQUIDADE NA IMPLEMENTAÇÃO DE POLÍTICAS: UMA TEMÁTICA IMPLÍCITA ...,Quantitativo descritivo,"O artigo é uma revisão sistemática de literatura, categoria que o prompt exclui quando não há aná..."
S2236-57102025000100211,2025,Cadernos Gestão Pública e Cidadania,SERVIÇOS PÚBLICOS E TECNOLOGIAS DIGITAIS: UMA ANÁLISE BIBLIOMÉTRICA,Quantitativo descritivo,"O artigo é uma revisão sistemática/bibliométrica, não uma pesquisa de campo sobre cidadãos ou gov..."
S2236-57102025000100600,2025,Cadernos Gestão Pública e Cidadania,PROPOSIÇÃO DE INDICADORES PARA A CIDADE INTELIGENTE E CRIATIVA,Quantitativo descritivo,"O artigo se autodeclara qualitativo, mas a validação dos indicadores usa contagens e percentuais ..."
S2236-57102025000100601,2025,Cadernos Gestão Pública e Cidadania,TECNOLOGIA SOCIAL PARA A GARANTIA DA SEGURANÇA ALIMENTAR NOS CENT...,Somente qualitativo,"O artigo cita muitos números de relatórios oficiais e estudos anteriores, e a metodologia mencion..."
S2236-57102025000100800,2025,Cadernos Gestão Pública e Cidadania,"BOA GOVERNANÇA, MODELOS DE GESTÃO E INGRESSO NO SERVIÇO PÚBLICO B...",Quantitativo descritivo,A classificação quantitativa é uma decisão difícil porque o corpo textual fornecido menciona a Ta...
S2236-57102025000100801,2025,Cadernos Gestão Pública e Cidadania,VIOLAÇÕES DE DIREITOS HUMANOS PELA FUNDAÇÃO RENOVA: FRAGMENTAÇÃO ...,Quantitativo descritivo,"O artigo se autodeclara qualitativo e exploratório, mas também calcula percentuais de violações a..."
S2236-57102025000100803,2025,Cadernos Gestão Pública e Cidadania,"MUDANÇAS SOCIAIS, INSTRUMENTOS DIGITAIS DE AÇÃO PÚBLICA E REENGEN...",Quantitativo descritivo,"O artigo é explicitamente um ensaio e quase todo o texto é conceitual e normativo. Ainda assim, a..."
S2236-57102025000101003,2025,Cadernos Gestão Pública e Cidadania,COCRIAÇÃO E PARTICIPAÇÃO SOCIAL: ANÁLISE DOS SEIS PLANOS DE AÇÃO ...,Quantitativo descritivo,"A introdução declara abordagem qualitativa, mas o corpo do artigo apresenta contagens, percentuai..."
S2236-57102025000101004,2025,Cadernos Gestão Pública e Cidadania,"TRANSPARÊNCIA ATIVA, DADOS ABERTOS E DESEMPENHO ACADÊMICO: ANÁLIS...",Modelagem estatística,"O artigo usa linguagem de efeito e relações causais e estima regressões OLS, mas também se autode..."
S2236-57102025000101005,2025,Cadernos Gestão Pública e Cidadania,AVALIAÇÃO DE SISTEMAS DE GOVERNO ABERTO E DE TRANSPARÊNCIA PÚBLIC...,Quantitativo descritivo,"A metodologia usa a expressão estratégia experimental e a conclusão emprega linguagem de impacto,..."
S2236-57102025000101007,2025,Cadernos Gestão Pública e Cidadania,TRANSPARÊNCIA NO MINISTÉRIO PÚBLICO DO ESTADO DO PARÁ: CONTORNOS ...,Quantitativo descritivo,"A metodologia se declara qualitativa, mas o artigo usa rankings e percentuais de atendimento do T..."
S2236-57102025000101200,2025,Cadernos Gestão Pública e Cidadania,CAPACIDADES DE INOVAÇÃO NO EMPREENDEDORISMO SOCIAL EM AMBIENTE DE...,Modelagem estatística,"A análise textual com Iramuteq quantifica o corpus e usa AFC, CHD, análise de similitude e chi2, ..."
S2236-57102025000101400,2025,Cadernos Gestão Pública e Cidadania,ARRANJOS INSTITUCIONAIS PARA O DESENVOLVIMENTO DE COMUNIDADES SUS...,Somente qualitativo,"O artigo apresenta várias contagens próprias de entrevistas e trechos codificados, mas elas funci..."
S2236-57102025000101401,2025,Cadernos Gestão Pública e Cidadania,BIOECONOMIA NA AMAZÔNIA: EVIDÊNCIAS DA FÁBRICA FILHA DO COMBU NA ...,Quantitativo descritivo,"O artigo se autodeclara qualitativo, mas inclui análise própria de planilhas e tabelas de quantid..."
S2236-57102025000101402,2025,Cadernos Gestão Pública e Cidadania,DETERMINANTES DO DESMATAMENTO HISTÓRICO E RECENTE DA AMAZÔNIA NA ...,Modelagem estatística,"O artigo usa linguagem de determinantes, impacto e fatores que contribuem para o desmatamento, ma..."
S2236-57102025000101405,2025,Cadernos Gestão Pública e Cidadania,“LIGANDO AS PONTAS!” - A ATUAÇÃO DO FUNDO PODÁALI NO FOMENTO DA B...,Quantitativo descritivo,"O artigo se declara eminentemente qualitativo e a estratégia central é estudo de caso, mas os res..."
S2236-57102025000101406,2025,Cadernos Gestão Pública e Cidadania,AVALIAÇÃO DA APLICABILIDADE DA POLÍTICA NACIONAL DE RESÍDUOS SÓLI...,Quantitativo descritivo,"A metodologia se declara qualitativa e bibliográfica, mas os resultados apresentam reanálise desc..."
S2236-57102025000101407,2025,Cadernos Gestão Pública e Cidadania,AVALIAÇÃO DO PROGRAMA DE REGULARIZAÇÃO AMBIENTAL NO ESTADO DE RON...,Quantitativo descritivo,"O artigo usa dados administrativos, figuras e orçamento de modo descritivo e também usa a Matriz ..."
S2236-57102025000101408,2025,Cadernos Gestão Pública e Cidadania,NEGÓCIOS DA (NA) FLORESTA AMAZÔNICA: DESAFIOS E OPORTUNIDADES DA ...,Somente qualitativo,"O artigo é apresentado como reflexão conceitual e não declara coleta própria de dados; contudo, a..."
S2236-57102025000101600,2025,Cadernos Gestão Pública e Cidadania,RUAS DIVIDIDAS? PROTESTOS SOBRE MEDIDAS RESTRITIVAS NO BRASIL PAN...,Quantitativo descritivo,O artigo tem linguagem explicativa sobre fatores que influenciaram protestos e menciona apoio de ...
S2236-57102025000101601,2025,Cadernos Gestão Pública e Cidadania,MOVIMENTOS SOCIAIS E O CUIDADO EM SAÚDE DURANTE A PANDEMIA DE COV...,Não empírico,"O artigo executa uma revisão de escopo com busca sistemática, triagem, extração e contagens descr..."
S2236-57102025000101602,2025,Cadernos Gestão Pública e Cidadania,Das ruas para a virtualidade? Protestos na Argentina e no Uruguai...,Quantitativo descritivo,A principal ambiguidade é se o uso pontual de percentuais do Latinobarómetro e uma figura gerada ...
S2236-57102025000101603,2025,Cadernos Gestão Pública e Cidadania,“I CAN’T BREATHE”: UMA ANÁLISE DO FLUXO DA HASHTAG #BlackLivesMat...,Quantitativo descritivo,"O artigo usa hipóteses e linguagem explicativa forte, mas a evidência apresentada é descritiva: f..."
S2236-57102025000101604,2025,Cadernos Gestão Pública e Cidadania,ENFRENTAMENTO À VIOLÊNCIA CONTRA MULHERES: ESTRATÉGIAS FEMINISTAS...,Somente qualitativo,"O artigo inclui pequenas contagens do corpus qualitativo, como oito organizações e sete grupos qu..."
S2236-57102025000101607,2025,Cadernos Gestão Pública e Cidadania,"¿LA PROTESTA, SIN LA CALLE? LOS FORMATOS DE PROTESTA Y LA RELACIÓ...",Alegação causal + análise quantitativa,"A análise quantitativa é apenas descritiva, mas o artigo formula explicitamente fatores que incid..."
S2236-57102025000101608,2025,Cadernos Gestão Pública e Cidadania,DEFESA DE DIREITOS DURANTE A PANDEMIA DE COVID-19 NO BRASIL: AS R...,Quantitativo descritivo,"O artigo se autodefine como pesquisa qualitativa com análise de rede, mas apresenta contagens, pe..."
S2236-57102025000101609,2025,Cadernos Gestão Pública e Cidadania,"ENREDADAS CONTRA A FOME: MOVIMENTOS, PANDEMIA E AUXÍLIO EM DOBRO ...",Somente qualitativo,A metodologia menciona 4263 publicações em redes sociais e uso de R para verificar termos e cruza...
S2236-57102025000101701,2025,Cadernos Gestão Pública e Cidadania,PANORAMA DOS ESTUDOS SOBRE A RESILIÊNCIA FINANCEIRA APLICADA À GE...,Quantitativo descritivo,O artigo é uma revisão sistemática de literatura. A classificação como empírico e misto decorre d...
S2236-57102025000101702,2025,Cadernos Gestão Pública e Cidadania,ARRANJOS FEDERATIVOS E FEDERALISMO FISCAL: UMA PROPOSTA DE FUSÃO ...,Modelagem estatística,"O artigo usa linguagem de efeitos e simula um cenário de fusão municipal, mas não apresenta uma e..."
S2236-57102025000101703,2025,Cadernos Gestão Pública e Cidadania,O ORÇAMENTO SENSÍVEL A GÊNERO NO BRASIL: UMA IMPLEMENTAÇÃO DESCON...,Somente qualitativo,"O artigo declara process-tracing e faz afirmações causais, mas sua evidência é qualitativa/docume..."
S2236-57102025000101705,2025,Cadernos Gestão Pública e Cidadania,ORÇAMENTO E FINANÇAS PÚBLICAS NO BRASIL CONTEMPORÂNEO: DIAGNÓSTIC...,Quantitativo descritivo,"O artigo é principalmente uma introdução editorial e ensaio diagnóstico de uma edição temática, m..."
S0102-85292005000100005,2005,Contexto Internacional,O Desempenho dos congressos Argentino e Brasileiro em perspectiva...,Alegação causal + análise quantitativa,"A análise quantitativa própria é claramente descritiva, mas há um componente qualitativo-document..."
S0102-85292005000200003,2005,Contexto Internacional,Os Estados Unidos e as relações internacionais contemporâneas,Não empírico,"The article contains many substantive explanatory claims and cites numerical indicators, official..."
S0102-85292005000200004,2005,Contexto Internacional,Autonomia e relevância dos regimes,Não empírico,O artigo apresenta uma tese explicativa sobre a efetividade dos regimes e usa esquemas de teoria ...
