pid,title,journal_title,year,eligible_order,empirical_evidence_type,quantitative_analysis_type,credibility_revolution_screen_reason,tough_call_reason
S1981-38212017000200206,Taxonomy of interstate conflicts: is South America a peaceful region?,Brazilian Political Science Review,2017,131,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article explicitly says it used content analysis of datasets and presents descriptive counts from conflict databases, so it counts as quantitative under the broad Torreblanca rule; however, the main contribution is interpretive and classificatory, and the phrase 'evidence of correlation' is not backed by a reported statistical correlation test or model in the body text."
S1981-38212017000300201,The Solidarity Economy in South and North America: Converging Experiences,Brazilian Political Science Review,2017,133,qualitative_only,none,qualitative_only,"The article includes many descriptive statistics from previous mappings and reports, but these are cited as secondary evidence rather than analyzed as the article's own quantitative data. Under the anti-false-positive rule, this should not count as original quantitative analysis."
S1981-38212017000300202,Politics on the Web: Using Twitter to Estimate the Ideological Positions of Brazilian Representatives,Brazilian Political Science Review,2017,134,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article contains explanatory interpretations of why PT and PSDB are distant in Twitter networks and uses Bayesian statistical modeling, but the empirical design is a measurement/validation exercise rather than a causal identification design. The qualitative contextual discussion also does not amount to a standalone qualitative empirical component."
S1981-38212018000100200,Expert-Driven and Citational Approaches to Assessing Journal Publications of Brazilian Political Scientists,Brazilian Political Science Review,2018,137,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses explanatory language about factors influencing Qualis scores and ordered logistic regressions, but it provides no design-based causal identification strategy; therefore it is screened for credibility-revolution methods but classified as observational regression with causal or explanatory claims and no credibility-revolution design."
S1981-38212018000100203,Coproduce or Codevelop Military Aircraft? Analysis of Models Applicable to USAN,Brazilian Political Science Review,2018,140,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article is primarily qualitative, but the body discusses multiple descriptive tables and counts based on external data sources. I classify it as mixed empirical because those descriptive quantitative analyses are used substantively in the USAN comparison, while keeping the quantitative type as descriptive_statistics_only."
S1981-38212018000200200,Strategic Coalitions and Agenda-Setting in Fragmented Congresses: How the PRI Sets the Legislative Agenda in Mexico,Brazilian Political Science Review,2018,143,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses Probit regressions and modeled ideal points, so it is statistical modeling, but it does not clearly report conventional statistical inference in the body. It also makes explanatory claims from observational case-study evidence without a credibility-revolution identification design."
S1981-38212018000200201,"Representation, Epistemic Democracy, and Political Parties in John Stuart Mill and José de Alencar",Brazilian Political Science Review,2018,144,none,none,not_empirical,"The article performs close textual interpretation of primary texts, which could be seen as qualitative evidence in a broad humanities sense. For this classification schema, however, it is best treated as political theory/conceptual interpretation rather than an empirical qualitative social-scientific article."
S1981-38212018000200203,Freedom through form: Bolívar Lamounier and the Liberal Interpretation of Brazilian Political Thought*,Brazilian Political Science Review,2018,146,qualitative_only,none,qualitative_only,"The article is not empirical in the quantitative social-science sense, but the schema counts substantive qualitative evidence such as documents, interpretive analysis, and intellectual-history materials. Because the article closely analyzes published texts as evidence, it is classified as qualitative empirical rather than non-empirical theory."
S1981-38212018000300201,Between Autonomy and Dependency: the Place of Agency in Brazilian Foreign Policy,Brazilian Political Science Review,2018,150,qualitative_only,none,qualitative_only,"The article is partly a conceptual essay and literature-based intellectual history rather than a conventional empirical study. I classify it as qualitative empirical because it substantively analyzes historical foreign-policy episodes, diplomatic discourse, and prior conceptual texts rather than remaining purely normative or formal."
S1981-38212018000300204,Entries and Withdrawals: Electoral Coordination across Different Offices and the Brazilian Party Systems,Brazilian Political Science Review,2018,153,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article includes counterfactual seat simulations and explicit explanatory claims, but the quantitative evidence is descriptive/simulation-based and correlational rather than inferential or design-based; the authors themselves say causal inference methods are needed for causal direction."
S1981-38212018000300205,Do Concepts Matter? Latin America and South America in the Discourse of Brazilian Foreign Policymakers,Brazilian Political Science Review,2018,154,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article combines historical-literature reconstruction with original quantitative content analysis. I classify it as mixed empirical because the body uses substantive historical qualitative material to develop and interpret expectations, but the original empirical contribution is primarily descriptive quantitative frequency analysis."
S1981-38212019000100201,Football UN-ited: From the Game of War to the War of the Game,Brazilian Political Science Review,2019,155,qualitative_only,none,qualitative_only,"The article is essayistic and theoretical, with no explicit empirical method, but it does substantively reconstruct and interpret historical documents, institutional episodes, and comparative cases. I therefore classify it as qualitative empirical rather than purely conceptual."
S1981-38212019000100203,"Political Institutions and the Legislative Success of Brazilian Presidents: an Analysis of the Cardoso, Lula and Rousseff Governments",Brazilian Political Science Review,2019,157,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses explanatory language and logistic regression, but it provides no design-based causal identification strategy. I therefore classify it as statistical modeling with observational causal/explanatory claims, not as a credibility-revolution method."
S1981-38212019000100204,"Capital Mobility, Veto Players, and Redistribution in Latin America During the Left Turn",Brazilian Political Science Review,2019,158,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article makes causal and explanatory claims and uses TSCS regression with random/fixed effects and robust standard errors, but it does not articulate a design-based identification strategy. Therefore it should be screened because it uses statistical modeling, but the credibility-revolution method is absent and best coded as observational regression with a causal claim but no design."
S1981-38212019000100205,Juvenile Sentencing: A Mixed-Methods Approach,Brazilian Political Science Review,2019,159,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article repeatedly frames the design as contributing to causal inference and mechanism explanation, but its own quantitative model is observational regression and explicitly disclaims causal identification. Therefore it should be screened because it uses statistical modeling and explanatory claims, but no credibility-revolution method is present."
S1981-38212019000200200,Social Forces and the International Political Economy after the 2008 Financial Crisis: The Case of Business Summit 20 (B20),Brazilian Political Science Review,2019,161,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article uses causal-mechanism, process-tracing and hoop-test language, but it explicitly frames the analysis as exploratory document/content analysis and descriptive comparison, without statistical inference or a design-based causal identification strategy."
S1981-38212019000200201,Programs and Parties: Rethinking Electoral Competition Through Analysis of Brazilian 'Grotões',Brazilian Political Science Review,2019,162,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses a statistical text model and a Poisson framework, which clearly makes it statistical modeling, but it does not report standard errors, p-values, confidence intervals, or equivalent uncertainty quantities in the provided text; therefore statistical inference is coded false. The qualitative component is also present but secondary to the quantitative text analysis."
S1981-38212019000200203,Democratization and Intelligence and Internal Security Agencies: A Comparative Analysis of the Cases of Brazil and Portugal (1974-2014),Brazilian Political Science Review,2019,164,qualitative_only,none,qualitative_only,"The empirical classification requires judgment because the article relies heavily on academic literature alongside official documents and press coverage, making it partly a synthetic comparative essay. However, the authors explicitly define data sources and conduct their own qualitative process tracing and comparative institutional mapping, so it is best classified as empirical qualitative rather than non-empirical literature review."
S1981-38212019000200204,Air Power Meets Clausewitz: Military Coercion as Limited War,Brazilian Political Science Review,2019,165,none,none,not_empirical,"The article closely discusses Pape's empirical tests, hypotheses, observations, and cost-benefit model, which could look like quantitative or causal evidence if read superficially. After full reading, these are clearly reviewed literature rather than the article's own empirical analysis."
S1981-38212019000200205,"Here Today, Gone Tomorrow - Political Ambition, Coalitions, and Accountability as Determinants of Ministerial Turnover in the Brazilian Multiparty Presidential System",Brazilian Political Science Review,2019,166,quantitative_only,statistical_modeling,statistical_modeling_screen,"The paper uses strong explanatory and impact language with multivariate survival models and an interaction, but it does not provide a design-based causal identification strategy; therefore it should be screened but not counted as a credibility-revolution method."
S1981-38212019000300200,The World Cup and Presidential Popularity in Brazil,Brazilian Political Science Review,2019,167,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The paper uses causal language about a negative rally effect and attempts to clarify causal direction with focus groups, but the quantitative design is observational logistic regression and the authors explicitly state that the data cannot fully resolve causality. Therefore it is screened but not classified as a credibility-revolution method."
S1981-38212019000300201,Clientelism and Local Politics: Interactions Between Municipal Councilors and Voters in the State of Minas Gerais,Brazilian Political Science Review,2019,168,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses explanatory and effect language in observational multilevel models, but it also describes the contribution as mainly descriptive and does not present a design-based identification strategy; therefore it screens in for statistical modeling but not as a credibility-revolution method."
S1981-38212019000300202,Parliamentary Supervision of Brazilian Foreign Policy: An analysis of Approval of Authorities,Brazilian Political Science Review,2019,169,mixed_empirical,bivariate_tests_or_correlations_only,bivariate_or_correlation_screen,"The article is clearly quantitative, but its qualitative component is less central: much of the non-quantitative material is institutional framing and case interpretation rather than a fully separate qualitative research design. I classify it as mixed_empirical because the paper substantively uses institutional/legal evidence and specific nomination cases to interpret the quantitative patterns."
S1981-38212019000300203,Race and Competitiveness in Brazilian Elections: Evaluating the Chances of Black and Brown Candidates through Quantile Regression Analysis of Brazil's 2014 Congressional Elections,Brazilian Political Science Review,2019,170,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses causal language and reports observational regression and quantile regression with controls, but it also acknowledges endogeneity around campaign finance and does not present an explicit design-based identification strategy. Therefore it is screened but not classified as using a credibility-revolution method."
S1981-38212019000300204,What do State Institutions Say? Twitter as a Public Communication Tool During the Impeachment of Dilma Rousseff,Brazilian Political Science Review,2019,171,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The quantitative evidence includes chi-squared tests, standardized residuals, Cramer's V, and correspondence analysis. This goes beyond descriptive statistics, but the article is not a causal credibility-revolution study; its explanatory claims about instrumentalization rest on content analysis rather than a design-based causal strategy."
S1981-38212020000100200,Brazilian International Development Cooperation and Public Opinion: Domestic Costs Faced by a Troubled Emerging Donor,Brazilian Political Science Review,2020,172,mixed_empirical,statistical_modeling,explicit_causal_design_screen,"The article is clearly quantitative and experimental, but the mixed_empirical and qualitative classification requires judgment because the qualitative material is mainly contextual and motivational rather than a standalone qualitative analysis. It is still substantive because the article uses legislative episodes, campaign rhetoric, foreign-policy history, and MINUSTAH context to build and interpret the empirical argument."
S1981-38212020000100202,The Presence of Incumbents Electoral Competition and Reelection in Brazil (1990-2014),Brazilian Political Science Review,2020,174,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses causal language, panel regressions, fixed effects, WLS, controls, and interaction terms to estimate effects, but it does not present a design-based identification strategy. Fixed effects alone are therefore not classified as DiD or as a credibility-revolution method."
S1981-38212020000100203,The Normative Bases of Semi-Presidentialism: Max Weber and the Mitigation of Caesarism,Brazilian Political Science Review,2020,175,none,none,not_empirical,"The article contains sustained interpretation of historical texts and makes explanatory claims about Weber's institutional thought, but its stated purpose and evidentiary practice are normative and conceptual rather than empirical qualitative research. I therefore classify it as non-empirical while noting its textual-intellectual-historical materials."
S1981-38212020000200200,"The Political Economy of Innovation Why is Brazil Stuck in the Technology Ladder? ,",Brazilian Political Science Review,2020,176,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article is partly an interpretive essay and much quantitative evidence is illustrative descriptive comparison, but the body contains multiple article-level tables and figures that compile or reanalyze quantitative indicators, so it counts as empirical quantitative under the broad Torreblanca rule while remaining descriptive-only."
S1981-38212020000200700,Environmental Policy in the Bolsonaro Government: The Response of Environmentalists in the Legislative Arena,Brazilian Political Science Review,2020,179,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The main ambiguity is whether the descriptive counts and budget figures are sufficient to count as original quantitative analysis. Because the article reports its own searches and legislative counts, especially PDLs and information requests over time, it is classified as Torreblanca-style quantitative, but only at the descriptive-statistics level."
S1981-38212020000300201,"Individual Conditioning Factors of Political Protest in Latin America: Effects of Values, Grievance and Resources",Brazilian Political Science Review,2020,181,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses explanatory and effect language with observational linear regression, but it does not articulate a design-based causal identification strategy. It should therefore be screened because it uses statistical modeling, but not counted as a credibility-revolution method."
S1981-38212020000300202,Political Science in Latin America: A Scientometric Analysis,Brazilian Political Science Review,2020,182,quantitative_only,statistical_modeling,statistical_modeling_screen,"The main judgment is whether bibliometric co-citation and co-word network analysis should be classified as descriptive statistics only or statistical_modeling. Because the prompt explicitly includes network models under statistical_modeling and the article constructs and interprets bibliometric networks with clustering and centrality measures, statistical_modeling is the better fit. However, the authors themselves describe the study as exploratory and descriptive, and it contains no statistical inference."
S1981-38212020000300203,Changes in the Foreign Policy of Bolivia and Ecuador: Domestic and International Conditions,Brazilian Political Science Review,2020,183,qualitative_only,none,qualitative_only,"The article contains contextual numbers and narrative claims about export/import trends and includes a Venn Diagram, which could be mistaken for quantitative evidence. However, the body text does not present an original quantitative data analysis, statistical table, model, or inference, so the appropriate classification is qualitative only."
S1981-38212021000100202,From Antipetismo to Generalized Antipartisanship: The Impact of Rejection of Political Parties on the 2018  Vote for Bolsonaro,Brazilian Political Science Review,2021,187,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article repeatedly uses causal and effect language, but the empirical strategy is observational logistic regression with controls and does not articulate a design-based identification strategy or credibility-revolution method."
S1981-38212021000100203,The Effects of Conditionality Monitoring on Educational Outcomes: Evidence from Brazil’s Bolsa Família Programme,Brazilian Political Science Review,2021,188,quantitative_only,statistical_modeling,statistical_modeling_screen,"The paper uses language about effects and treatment proxies, but the actual design is an ecological observational regression/growth-curve analysis with explicit limitations about ecological fallacy and proxy validity; no design-based causal identification strategy is presented."
S1981-38212021000200202,"Left-Wing Governmental Alliance in Portugal, 2015-2019: A Way of Renewing and Rejuvenating Social Democracy?",Brazilian Political Science Review,2021,190,mixed_empirical,descriptive_statistics_only,causal_claim_with_quantitative_analysis_screen,"The article makes explanatory claims and uses descriptive quantitative evidence, so it triggers screening through causal claims associated with quantitative analysis. However, the author explicitly frames the hypotheses as descriptive in a single case and provides no statistical inference or identification design, so no credibility-revolution method is present."
S1981-38212021000200203,Specialists and Politics: The Recruitment of Presidents and Directors of BNDES in the PSDB and PT Administrations,Brazilian Political Science Review,2021,191,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The main ambiguity is whether descriptive social network analysis should be coded as descriptive quantitative analysis or statistical modeling. I classify it as statistical_modeling because the prompt explicitly includes network models in that category and the article constructs one-mode networks, applies clustering algorithms, and analyzes centrality and cohesion metrics, even though it does not report statistical inference."
S1981-38212021000300701,Jair Bolsonaro and the Dominant Counterpublicity,Brazilian Political Science Review,2021,198,qualitative_only,none,qualitative_only,"The article is heavily conceptual and theoretical in its framing, so the empirical classification depends on treating its case reconstruction, discourse excerpts, and public-episode analysis as substantive qualitative evidence rather than as mere illustration."
S1981-38212021000300703,"Climate Security, the Amazon, and the Responsibility to Protect",Brazilian Political Science Review,2021,199,qualitative_only,none,qualitative_only,"The article is partly conceptual and prospective, so the empirical classification depends on whether its documentary analysis of UN practice, diplomatic positions, complaints, and securitizing actors counts as substantive qualitative evidence. It does not merely theorize; it uses these materials to reconstruct and explain a political pathway, so qualitative empirical classification is warranted."
S1981-38212022000100203,Foreign Policy versus Migration Legislation: The case of Brazil (1979-2017),Brazilian Political Science Review,2022,202,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The Methods section describes the study as qualitative, but the Results section reports original Iramuteq word-frequency counts and word-cloud analysis. I classify this as mixed empirical with descriptive quantitative analysis because those counts are the authors' own analysis of legal texts, but the quantitative component remains purely descriptive."
S1981-38212022000100204,Policy Dynamics and Government Attention over Welfare Policies: An Analysis of the Brazilian Case,Brazilian Political Science Review,2022,203,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article has explanatory discussion and uses qualitative historical interpretation, but it explicitly denies a causal design. The central quantitative component is descriptive content analysis, so causal language in the theoretical framing should not trigger credibility-revolution screening."
S1981-38212022000100205,Electoral Dividends from Programmatic Policies: A Theoretical Proposal Based on the Brazilian Case,Brazilian Political Science Review,2022,204,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article repeatedly uses impact and electoral-effect language and models survey outcomes with controls, but it does not present a design-based identification strategy. The appropriate credibility classification is therefore observational regression with causal/explanatory claims but no credibility-revolution method."
S1981-38212022000200202,Why has Participatory Budgeting Declined in Brazil?,Brazilian Political Science Review,2022,206,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article makes explanatory claims and uses panel fixed effects, but it does not articulate a design-based causal identification strategy. I therefore treat it as observational regression with causal/explanatory claims rather than a credibility-revolution method."
S1981-38212022000200203,Democratization and Graduation Dilemmas Faced by Regional Powers in the Global South: A comparative Study of Brazil and South Africa,Brazilian Political Science Review,2022,207,qualitative_only,none,qualitative_only,"The text mentions Graph 01 depicting the evolution of peace-operation participation, which could indicate descriptive quantitative evidence, but the provided body text contains no graph values, data source description, or quantitative interpretation sufficient to classify the paper as quantitative."
S1981-38212022000200205,Digital activism and democratic culture: can digital technologies help save democracy?,Brazilian Political Science Review,2022,209,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article often uses associational language but also claims digital participation may improve or foster democratic culture. Because the empirical strategy is observational PCA and regression without an explicit causal identification strategy, it is screened but not classified as using a credibility-revolution method."
S1981-38212022000200206,"Building Parties’ Grassroots: Electoral Systems, Party Organizations, and Social Linkages from a Cross-National Perspective",Brazilian Political Science Review,2022,210,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses fixed-effects panel models and causal/explanatory language about effects, but it does not articulate a design-based identification strategy such as DiD, IV, RDD, experiment, synthetic control, or matching. I therefore screen it but code the credibility-revolution method as absent."
S1981-38212022000300201,The Relationship between Ideology and COVID-19 Deaths: What We Know and What We Still Need to Know,Brazilian Political Science Review,2022,212,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article is primarily a methodological critique of ecological inference, but it also presents its own descriptive figures and monthly linear regression estimates with confidence intervals. That makes it empirical quantitative with statistical modeling, even though its own goal is diagnostic and critical rather than to claim a validated causal effect."
S1981-38212022000300202,Activism Among Bureaucrats: Creative Social Housing Work in a Conservative Institutional Setting,Brazilian Political Science Review,2022,213,qualitative_only,none,qualitative_only,"The article reports many counts and says it conducted cross-analysis between profile clusters and response frequencies in NVivo, but the surrounding description shows these are qualitative coding summaries and typological comparisons rather than substantive quantitative analysis or statistical inference."
S1981-38212022000300204,"Does the Before Influence the After? Career Paths, Nominations, and Votes of the STF Justices",Brazilian Political Science Review,2022,215,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article repeatedly uses causal language about career paths affecting votes and estimates logistic regression models with controls, but it does not articulate a design-based causal identification strategy or assumptions sufficient to count as a credibility-revolution method."
S1981-38212023000100201,Question of Timing: Pre-Electoral Coalitions in Multiparty Presidential Regimes,Brazilian Political Science Review,2023,217,mixed_empirical,descriptive_statistics_only,causal_claim_with_quantitative_analysis_screen,"The article uses causal/explanatory language and set-theoretic terminology about necessity, but its own quantitative evidence is descriptive counts and percentages, with no statistical inference or causal identification design."
S1981-38212023000100205,Credit and Ideology: The Policy of Payroll Deducted Credit during the Workers' Party Years,Brazilian Political Science Review,2023,221,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article repeatedly discusses policy 'effects' and explanatory mechanisms, but the quantitative evidence is descriptive and there is no causal identification design or statistical inference. The correct classification is therefore descriptive quantitative plus qualitative explanatory analysis, not credibility-revolution causal inference."
S1981-38212023000200201,Mandatory Individual Amendments: a Change in the Pattern of Executive Dominance in the Brazilian Budgetary and Financial Cycle,Brazilian Political Science Review,2023,223,mixed_empirical,statistical_modeling,explicit_causal_design_screen,"The quantitative and causal classifications are clear, but the mixed-empirical classification requires judgment because much of the qualitative material is institutional/legal reconstruction rather than interview- or ethnography-style qualitative analysis. It is still substantive qualitative evidence because the article uses legislative speeches, constitutional texts, procedural rules, and documentary evidence to reconstruct the institutional change and its mechanisms."
S1981-38212023000200202,"Pierre Rosanvallon, from the Critique of Utopian Liberalism to the Critique of the Critique of Neoliberalism",Brazilian Political Science Review,2023,224,qualitative_only,none,qualitative_only,"The article is not empirical in the narrow data-analysis sense, but it does use substantive textual evidence and close reading of primary theoretical works. I classify it as qualitative_only because the schema includes documents and interpretive analysis as qualitative evidence, while noting that it has no quantitative empirical analysis."
S1981-38212023000200206,"Political Institutions, Electoral Systems, and Party Stability in 40 Democracies Including Brazil",Brazilian Political Science Review,2023,228,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article repeatedly uses causal and effects language, but it also frames institutions as not necessary or sufficient causes and relies on observational GEE panel modeling without a design-based identification strategy. Therefore it should be screened but not coded as using a credibility-revolution method."
S1981-38212023000300201,"PLANB Index : Sociological Categories for Climate Policymakers ,",Brazilian Political Science Review,2023,229,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article is heavily theoretical and normative, but it also reports original empirical application of the PLANB Index to documents, interviews, and descriptive bibliometric/material summaries. The quantitative component is real but limited to descriptive counts, percentages, and mapping, so it should not be upgraded to inference or modeling."
S1981-38212023000300202,"Access, Technology, and Transition: Mapping the Themes of the Debate on Energy at the United Nations General Assembly (2000-2020),",Brazilian Political Science Review,2023,230,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The main ambiguity is that hierarchical clustering and correspondence analysis are exploratory dimensionality-reduction methods without inferential tests. Under the prompt schema, clustering and PCA/factor-like dimensionality reduction count as statistical modeling, but the article still has no statistical inference and no causal identification design."
S1981-38212023000300204,"Climate Change, Denialism, and Participatory Institutions in Brazil: Effects of the Bolsonaro Government's Environmental Strategy (2019-2022)",Brazilian Political Science Review,2023,232,mixed_empirical,descriptive_statistics_only,causal_claim_with_quantitative_analysis_screen,"The article's quantitative component is descriptive and embedded in a mostly qualitative institutional argument. It should count as Torreblanca-style quantitative because the authors explicitly use council-meeting and budget-execution indicators from official sources, but it does not go beyond descriptive statistics and does not use a credibility-revolution causal design."
S1981-38212023000300205,"Interest Groups in Brazilian Climate Policy: an Analysis of the Agricultural and Energy Sectors,",Brazilian Political Science Review,2023,233,qualitative_only,none,qualitative_only,"The paper contains many percentages and descriptive statistics, but they are cited from secondary sources and used as contextual evidence rather than as the authors' own quantitative dataset or reanalysis. The authors explicitly characterize the method as qualitative, based on literature review and secondary data."
S1981-38212023000300701,"The Environment in Brazil&#8217;s 2022 Presidential Election,",Brazilian Political Science Review,2023,234,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses causal and effect language with controlled observational survey models, but it does not present a design-based identification strategy; therefore it passes the statistical-modeling screen but should not be counted as using a credibility-revolution method."
S1981-38212024000100201,Political Support for Sale: Cabinet Appointments and Public Expenditures in Brazil,Brazilian Political Science Review,2024,235,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses fixed effects regressions and explanatory language, but it does not articulate a design-based causal identification strategy. Therefore the fixed effects are coded as observational causal/explanatory modeling without a credibility-revolution method rather than as DiD or another modern causal design."
S1981-38212024000100202,Following the Trail of Words: Mapping the Trending Topics of Graduate Research in the Brazilian IR Scholarship (1987-2018),Brazilian Political Science Review,2024,236,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article combines original quantitative text-as-data modeling with qualitative historical contextualization. It also makes explanatory claims, but these are not supported by a design-based causal identification strategy, so no credibility-revolution method is present."
S1981-38212024000100203,Populism and the Dismantling of Brazil's Deforestation Oversight Policy,Brazilian Political Science Review,2024,237,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article is causally explicit and uses process tracing with tests, but its quantitative evidence is descriptive and its causal identification is qualitative rather than a listed credibility-revolution quantitative method. It is therefore mixed empirical and causal/explanatory, but not screen-applicable for credibility-revolution methods under the prompt's quantitative screening rules."
S1981-38212024000100204,"Separate Tables: Thematic and Methodological Divisions in Brazilian Political Science,,",Brazilian Political Science Review,2024,238,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The quantitative classification is a borderline case because the article uses network analysis and centrality/modularity metrics rather than regression or hypothesis testing. I classify it as statistical_modeling because network models are explicitly constructed and analytically interpreted. The credibility-revolution method is absent because the network analysis is descriptive and exploratory, not a causal identification design."
S1981-38212024000200202,The Politics of Agribusiness in Brazil: Business Power and Political Success during the 55th Legislature (2015-2019),Brazilian Political Science Review,2024,240,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses documentary sources to code variables and sometimes uses causal language, but its original empirical analysis is primarily statistical modeling of structured data, with no explicit design-based causal identification strategy."
S1981-38212024000200205,The Social Participation on the Other Side of the Counter: Bureaucracy Perceptions in the Social Assistance*,Brazilian Political Science Review,2024,243,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article makes explanatory claims and uses descriptive quantitative comparisons by attributes, but it does not report inferential tests or a causal identification design; the quantitative module is therefore descriptive_statistics_only despite explanatory language."
S1981-38212024000300201,Are Ministerial Gates Closed? Party Politicization and Fractionalization in the Federal Political Bureaucracy (1999-2018),Brazilian Political Science Review,2024,245,quantitative_only,descriptive_statistics_only,descriptive_quantitative_only,"The article makes explanatory claims about coalition management and party support, but its own empirical analysis is descriptive and does not estimate causal effects or report inferential statistics. The qualitative-looking ministry examples are interpretive illustrations of the quantitative data rather than a separate systematic qualitative empirical component."
S1981-38212024000300202,"Multilevel Governance of Social Policy: Social Services in Metropolises,",Brazilian Political Science Review,2024,246,qualitative_only,none,qualitative_only,"The article mentions characterization and budgetary data in tables, but the body text does not present substantive original quantitative analysis, tests, models, or inferential statistics. The analytical weight is qualitative case-study evidence, so the article is classified as qualitative_only rather than mixed_empirical."
S1981-38212024000300203,Every Mind is a Different World: do Judges Truly Decide in Such Diverse Ways?,Brazilian Political Science Review,2024,247,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses explanatory language about ideology influencing judicial decisions and estimates logistic regressions, but it also describes the study as exploratory and does not present a design-based identification strategy; therefore it should be screened but not counted as a credibility-revolution method."
S1981-38212024000300204,"From the Environment to Green Democracy: Environmentalism, Social Movements, and the State in the Environmental Policy Debate",Brazilian Political Science Review,2024,248,none,none,not_empirical,"The article contains historical examples and summarizes empirical studies by other authors, especially in the discussion of environmental movements and policy outcomes. The difficult judgment is distinguishing this literature-based theoretical reconstruction from the article's own empirical analysis; under the prompt's anti-false-positive rule, secondary empirical references do not count as original empirical evidence."
S1981-38212024000300205,Violence and Democratic Legitimacy in Latin America: Causal Mechanisms and Contextual Effects,Brazilian Political Science Review,2024,249,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses strong causal language, hypotheses, fixed-effects terminology, and contextual interactions, but the body text shows observational regression/multilevel modeling rather than a design-based causal identification strategy. Fixed effects are not sufficient to classify the study as DiD or another credibility-revolution method."
S1981-38212025000100201,A Constitution I Am Used To? Constitutional Endurance and Replacement in Democratic Latin America,Brazilian Political Science Review,2025,250,mixed_empirical,statistical_modeling,statistical_modeling_screen,"QCA is a formal set-theoretic causal method rather than a conventional regression model. The schema has no separate QCA category, so statistical_modeling is the closest available option because the article goes well beyond descriptive statistics and bivariate tests, uses calibrated variables, necessity and sufficiency analysis, truth tables, consistency, coverage, and robustness checks."
S1981-38212025000100202,The Unconditional Basic Income Proposal as a Means to Promote Ecological and Socioeconomic Justice,Brazilian Political Science Review,2025,251,qualitative_only,none,qualitative_only,"The article is primarily theoretical and literature-based, but it includes a substantive qualitative discussion of the Marica case using prior empirical studies and official objectives. I therefore classify it as qualitative empirical in a limited secondary case-analysis sense, not as original quantitative analysis."
S1981-38212025000100203,"Climate Justice, Recognition, Pluralism",Brazilian Political Science Review,2025,252,none,none,not_empirical,"The article labels Black and Indigenous movements as case studies and discusses real-world examples, but it does not analyze original qualitative evidence; the cases are literature-based illustrations within a normative political-theory argument."
S1981-38212025000100205,The Torrents of Spring : The Role of Governance Capacity in the Developing World during the COVID-19 Pandemic,Brazilian Political Science Review,2025,254,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article repeatedly uses causal language such as effects and reductions and estimates panel and dynamic random-effects models with controls, but it does not present a design-based identification strategy or explicit causal identification assumptions. Therefore it passes the screen but is best coded as observational regression with causal claim and no credibility-revolution design."
