pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_method,source_url,input_hash,retrieved_at,body_char_count,body_word_count,abstract_char_count_expected,reference_tail_ratio,present_in_processed,pid_is_unique_in_processed,body_text_nonempty,source_provenance_ok,body_block_count,body_minimum_size_ok,body_has_min_blocks,body_substantially_larger_than_abstract,references_not_majority,body_not_frontmatter,validation_status,suspect_flags,nonblocking_flags
S0102-69092018000300507,O OVO E A GALINHA. Estudo do enquadramento e da recepção da cobertura jornalística no pleito de 2014,THE EGG AND THE CHICKEN ANALOGY: STUDY OF THE FRAMEWORK AND RECEPTION OF JOURNALISTIC COVERAGE IN THE 2014 ELECTIONS,João Feres Júnior; Luciana Fernandes Veiga; Ednaldo Ribeiro,2018,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/339809/2018,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092018000300507&tlng=pt,132efe973f0bf054120374b3886270487c47ed40dcdcfc7a20169aff2898446b,2026-06-03T23:06:07Z,53726,8525,1416,0,TRUE,TRUE,TRUE,TRUE,82,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-69092019000200505,CLASSE SOCIAL E ALIMENTAÇÃO: PADRÕES DE CONSUMO ALIMENTAR NO BRASIL CONTEMPORÂNEO,SOCIAL CLASSES AND FOOD: PATTERNS OF FOOD CONSUMPTION IN BRAZIL TODAY,Edison Bertoncelo,2019,0102-6909,Revista Brasileira de Ciências Sociais,10.1590/3410005/2019,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092019000200505&tlng=pt,53dff1742247d257cc1ddb4be145bd045548a6b8e4d76d278b086e829b76fe76,2026-06-03T23:06:07Z,50831,7707,711,0,TRUE,TRUE,TRUE,TRUE,54,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-69092019000300509,EXISTEM PREFERÊNCIAS DE SEXO NO BRASIL?,ARE THERE SEX PREFERENCES IN BRAZIL?,Raquel Zanatta Coutinho,2019,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/3410110/2019,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092019000300509&tlng=en,b8a3e982d057536a8375e4ab818bc67f50ffe029c018f50c0911e25a1900cc65,2026-06-03T23:06:07Z,55047,8977,1103,0,TRUE,TRUE,TRUE,TRUE,112,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-69092020000100513,AUTORIDADE PRIVADA NA GOVERNANÇA DA INTERNET: Regimes de nomes e domínios na América Latina,PRIVATE AUTHORITY IN INTERNET GOVERNANCE: NAME AND DOMAIN REGIMES IN THE LATIN AMERICAN CONTEXT,Pablo Holmes; Kimberly Anastácio,2020,0102-6909,Revista Brasileira de Ciências Sociais,10.1590/3510218/2020,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092020000100513&tlng=pt,2c8f619326035c975008695c018d0779f09053f4fbd11e660d0602f1230d0890,2026-06-03T23:06:07Z,63281,9670,940,0,TRUE,TRUE,TRUE,TRUE,94,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-69092021000100510,TECENDO UM CIRCUITO COMERCIAL A PARTIR DA FEIRA DA MADRUGADA As agenciadoras da moda popular brasileira,WEAVING A TRADE CIRCUIT FROM THE NIGHT MARKET: BRAZILIAN POPULAR FASHION AGENTS,André Vereta Nahoum,2021,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/3610504/2020,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092021000100510&tlng=pt,12321143d2c1319726db75456461d821f7d01c096e1b8058f8bbca2232977116,2026-06-03T23:06:07Z,83051,12886,972,0,TRUE,TRUE,TRUE,TRUE,122,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-69092024000100506,Determinantes da equidade na implementação da Política Nacional de Assistência Social,The determinants of equity in the implementation of the National Social Assistance Policy,Roberta Cardoso Piedras; Luciana Leite Lima; Sergio Simoni Junior,2024,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/39006/2024,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092024000100506&tlng=pt,7f1843e7261429096da41215077339e9f3f400d8d713d260e6caa9ed14161f9c,2026-06-03T23:06:07Z,37584,5580,1372,0,TRUE,TRUE,TRUE,TRUE,61,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-69092025000100509,Negligência ou Genocídio? A crise humanitária na Terra Indígena Yanomami no Brasil,Negligence or Genocide? The humanitarian crisis in the Yanomani Indigenous Land in Brazil,Simone Rodrigues Pinto,2025,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/40014/2025,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092025000100509&tlng=en,5653463916be29015494df340737cd55f03605ef11a33d5328fbae3428d03e93,2026-06-03T23:06:08Z,54336,8051,846,0,TRUE,TRUE,TRUE,TRUE,89,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292005000100003,O novo regionalismo econômico asiático,New asian economic regionalism,Silvio Miyazaki,2005,1982-0240,Contexto Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292005000100003&tlng=pt,194c434e7acd8e1f6f33d36440648929e943042d24f7ff9ab5cff523845cee2f,2026-06-03T23:06:08Z,34245,5366,1545,0,TRUE,TRUE,TRUE,TRUE,60,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292006000100007,O local e o global na estrutura da política ambiental internacional: a construção social do acidente químico ampliado de Bhopal e da Convenção 174 da OIT,The local and the global in the international environmental politics structure: the social construction of the Bhopal major chemical accident and the ILO Convention 174,Aletheia de Almeida Machado,2006,1982-0240,Contexto Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292006000100007&tlng=pt,00b3f60bca23c4d34c9cf3e2e938d48a79faea9c05c61c45ddeddfa88ef69ec2,2026-06-03T23:06:08Z,74912,11238,1849,0,TRUE,TRUE,TRUE,TRUE,68,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292007000100001,"Multilateralismo, democracia e política externa no Brasil: contenciosos das patentes e do algodão na Organização Mundial do Comércio (OMC)","Multilateralism, democracy and foreign policy in the Brazil: disputes of the patents and the cotton in the WTO",Marcelo Fernandes de Oliveira,2007,1982-0240,Contexto Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292007000100001&tlng=pt,66cdb398c35b2bb81aa1a28936dda4b098ebae2f7ee4bfd03a5ac4254344a87a,2026-06-03T23:06:08Z,52254,7816,999,0,TRUE,TRUE,TRUE,TRUE,96,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292008000100002,Modelo de mudanças climáticas com gastos públicos,Climate change models with public spending,Pedro Erik Arruda Carneiro,2008,0102-8529,Contexto Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000100002&tlng=pt,9acd40df3148c132763084ce223c6a18272e5799f2566f2384c6255a8882e9e1,2026-06-03T23:06:08Z,48330,7754,928,0,TRUE,TRUE,TRUE,TRUE,107,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292011000100010,"O que há por trás do direito ao voto dos emigrantes internacionais? Teoria, história e cidadania demandante","What's behind the voting rights of international migrants? Theory, history and claimant citizenship",Leticia Calderón Chelius,2011,1982-0240,Contexto Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292011000100010&tlng=pt,4a37658e8762a20cab2e986d0c2644332f691f8deb91cac4eb60164fe548a560,2026-06-03T23:06:08Z,31956,4848,503,0,TRUE,TRUE,TRUE,TRUE,47,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292013000200006,Sovereignty and regional integration in Latin America: a political conundrum?,Sovereignty and regional integration in Latin America: a political conundrum?,Paulo Roberto de Almeida,2013,1982-0240,Contexto Internacional,NA,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292013000200006&tlng=en,da1d64038d9794373005238aed259afbcf6681ba6086ee62f43c7fa9f06f5f6c,2026-06-03T23:06:08Z,43478,6753,1350,0,TRUE,TRUE,TRUE,TRUE,57,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292013000200009,BRICS: an explanation in critical geography,BRICS: an explanation in critical geography,Krishnendra Meena,2013,1982-0240,Contexto Internacional,NA,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292013000200009&tlng=en,1820e0f9ea8e95a9eaffbe2f22e771c06b511fea32264f1c22290c00fc39c32f,2026-06-03T23:06:08Z,48348,7501,1036,0,TRUE,TRUE,TRUE,TRUE,60,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292014000100008,A institucionalização de blocos de integração: uma proposta de critérios de medição,The institutionalization of integration processes: a proposal for criteria of measurement,João Carlos Amoroso Botelho,2014,1982-0240,Contexto Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292014000100008&tlng=pt,594f1e4ace7478aa49176369bdf5b781efc3132d0891493bc5a9089de648bbe0,2026-06-03T23:06:08Z,32402,5167,1559,0,TRUE,TRUE,TRUE,TRUE,68,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292015000300851,Benjamin Cohen on global political order: when Keynes meets realism - and beyond,Benjamin Cohen on global political order: when Keynes meets realism - and beyond,Stefano Guzzini,2015,1982-0240,Contexto Internacional,10.1590/S0102-85292015000300003,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292015000300851&tlng=en,36cdc727e1b8cd910b739355fbae281b75783ea4208f03d1fbfa891dadcc6fd8,2026-06-03T23:06:08Z,55960,9022,1834,0,TRUE,TRUE,TRUE,TRUE,84,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292016000100313,Domestic coalitions in the FTAA negotiations: the Brazilian case,Domestic coalitions in the FTAA negotiations: the Brazilian case,Daniel Castelan,2016,0102-8529,Contexto Internacional,10.1590/S0102-8529.2016380100009,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100313&tlng=en,f4f2710b586ca6f230e88c8fe83673f349ce336eda53da4dfa716e990be74de9,2026-06-03T23:06:08Z,51721,8031,1114,0,TRUE,TRUE,TRUE,TRUE,66,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292017000300569,"Paradiplomacia, Políticas de Segurança e Redes de Cidades: o Caso da Unidade Temática de Segurança Cidadã das Mercocidades","Paradiplomacy, Security Policies and City Networks: the Case of the Mercocities Citizen Security Thematic Unit",Gilberto Marcos Antonio Rodrigues; Thiago Mattioli,2017,0102-8529,Contexto Internacional,10.1590/S0102-8529.2017390300006,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000300569&tlng=en,62438ad1762fd8abf0ade2edfaaff56a7a03841ad73cc9c797da737fbcfce86e,2026-06-03T23:06:08Z,38716,5881,895,0,TRUE,TRUE,TRUE,TRUE,77,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292019000300663,"Sobre a Espectralidade do Inter-estado-ual/Internacional: Um Fórum sobre os Espectros de Marx de Jacques Derrida depois de 25 anos, Parte III","On the Spectrality of the Inter-state-eal/International: A Forum on Jacques Derrida's Specters of Marx after 25 Years, Part III",Jessica Auchter; Bruna Holstein Meireles; Victor Coutinho Lage,2019,1982-0240,Contexto Internacional,10.1590/S0102-8529.2019410300009,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292019000300663&tlng=en,3c74760addf49328fbac4c192bd113d694094822cd89e6fcb78e448b8623bfba,2026-06-03T23:06:08Z,66012,10748,1337,0,TRUE,TRUE,TRUE,TRUE,90,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292021000100121,Política Externa dos EUA para a América do Sul desde o 11 de Setembro: Negligência ou Militarização?,US Foreign Policy to South America since 9/11: Neglect or Militarisation?,Livia Peres Milani,2021,0102-8529,Contexto Internacional,10.1590/S0102-8529.2019430100006,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292021000100121&tlng=en,8a0ae5e8e3019cea970b3433f32f085ece17472e4e9a12a3ef0334f94910202d,2026-06-03T23:06:08Z,49331,7596,1529,0,TRUE,TRUE,TRUE,TRUE,80,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292021000100199,"Vinte anos da Colonialidade do Poder, Eurocentrismo e América Latina de Aníbal Quijano","Two Decades of Aníbal Quijano&#8217;s Coloniality of Power, Eurocentrism and Latin America",José Guadalupe Gandarilla Salgado; María Haydeé García-Bravo; Daniele Benzi,2021,0102-8529,Contexto Internacional,10.1590/S0102-8529.2019430100009,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292021000100199&tlng=en,c155d73e239e454135191083e84b3a63494659c7754eea7d44f61af2f6e5c425,2026-06-03T23:06:08Z,61449,9472,1449,0,TRUE,TRUE,TRUE,TRUE,82,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0102-85292023000100200,"Hegemonia, criação de consenso e colonização pedagógica: Novas formas de ingerência externa?","Hegemony, consensus building, and pedagogical colonisation: new ways of external interference?",Camila Vidal,2023,1982-0240,Contexto Internacional,10.1590/S0102-8529.20234501E20200053,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292023000100200&tlng=en,83648ad88b3dba51a57ddaf26fbde545536ae2c4f84eb3b75f22fe0e2bb2c9c2,2026-06-03T23:06:08Z,52947,8160,1206,0,TRUE,TRUE,TRUE,TRUE,71,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522011000200005,Da expectativa de vitória à derrota: estratégias discursivas do PT em Curitiba e Porto Alegre em 2004,Da expectativa de vitória à derrota: estratégias discursivas do PT em Curitiba e Porto Alegre em 2004,Luciana Fernandes Veiga; Nelson Rosário de Souza; Emerson Urizzi Cervi,2011,0103-3352,Revista Brasileira de Ciência Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522011000200005&tlng=pt,b5ee6c463342fef9bf012f13b2efa48147e8117371db8a6d7e56fe46cd3e72f0,2026-06-03T23:06:08Z,62019,9987,972,0,TRUE,TRUE,TRUE,TRUE,117,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522012000300002,Em busca da deliberação: mecanismos de inserção das vozes subalternas no espaço público,Seeking deliberation: including subaltern voices in public space,Francisco Mata Machado Tavares,2012,0103-3352,Revista Brasileira de Ciência Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522012000300002&tlng=pt,2c79d418d43432af1581e5ba42d3a0c8d80151f3636e10e93c55dcdd64954ea7,2026-06-03T23:06:08Z,59997,8913,932,0,TRUE,TRUE,TRUE,TRUE,81,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522014000100007,"Entre o radicalismo e a resignação: teoria democrática em Direito e democracia, de Habermas",Between radicalism and resignation democratic theory in Habermas's Between facts and Norms,William E. Scheuerman,2014,0103-3352,Revista Brasileira de Ciência Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522014000100007&tlng=pt,799f418243ec46813248c80185a27a373bff2d850f56d6025a37122397dfd6b7,2026-06-03T23:06:08Z,59305,8843,718,0,TRUE,TRUE,TRUE,TRUE,44,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522014000300315,Crime e Congresso Nacional: uma an&#225;lise da pol&#237;tica criminal aprovada de 1989 a 2006,Crime and Brazil's National Congress: an analysis of the criminal policy approved from 1989 until 2006,Marcelo da Silveira Campos,2014,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352201415011,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522014000300315&tlng=pt,c5e7762187f048e1a8580b026f44b25ca858031f140baaee1a48c1ff999819bb,2026-06-03T23:06:08Z,41957,6591,898,0,TRUE,TRUE,TRUE,TRUE,85,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522015000300121,Análise de classes,Class analysis,Erik Olin Wright,2015,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-335220151705,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522015000300121&tlng=pt,5a7d00704137bd676e0892a7c5c2ca61c23fc9ca585e0014f8f10134fd8fc1a9,2026-06-03T23:06:09Z,67403,10377,879,0,TRUE,TRUE,TRUE,TRUE,84,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522016000100121,Pesquisa e produção de conhecimento sobre a América Latina na ciência política brasileira,Research and production of knowledge about Latin America in the Brazilian political science,João Pedro Tavares Damasceno; João Carlos Amoroso Botelho,2016,2178-4884,Revista Brasileira de Ciência Política,10.1590/0103-335220161905,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522016000100121&tlng=pt,cdc2ce8261fed25df006c2257f7adbf83db8d7ac0e4deda8dff1eaa1eaaaad01,2026-06-03T23:06:09Z,35145,5690,862,0,TRUE,TRUE,TRUE,TRUE,78,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522017000300191,Ciclos de protesto e repertório de ação do movimento indígena brasileiro entre 2009 e 2016: o caso da PEC 215,Cycles of protest and repertoire of action of the Brazilian Indigenous movement between 2009 and 2016: the case of the PEC 215,Leonardo Barros Soares,2017,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-335220172406,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522017000300191&tlng=pt,d961da4641ea51a9a9e1d95495a8981d15b6553b3aaa036bf5dbc6580d0d0c99,2026-06-03T23:06:09Z,43987,6708,998,0,TRUE,TRUE,TRUE,TRUE,80,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522019000300077,"Fronteiras de Estados emergentes: migração, cidadania pós-nacional e trabalhadores latino-americanos no Brasil,","Fronteiras de Estados emergentes: migração, cidadania pós-nacional e trabalhadores latino-americanos no Brasil,",Marcelo de Almeida Medeiros; Teresa Cristina de Souza Cardoso Vale; Davidson Afonso de Ramos; Enivaldo Carvalho da Rocha; Leticia Suely de Souza,2019,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-335220193003,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522019000300077&tlng=pt,7b29e8da801c72188cb46e79dda42043858be0b12a099a5c533a40fac0bf808a,2026-06-03T23:06:09Z,39415,6064,1027,0,TRUE,TRUE,TRUE,TRUE,79,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522020000100083,"A diferenciação ideológica na política externa partidária eleitoral: PSDB, PT e MDB (1994-2018)","Ideological differentiation in electoral party foreign policy manifestos: PSDB, PT and MDB (1994-2018)",Gabriel Mendes; Luís Felipe Guedes da Graça,2020,2178-4884,Revista Brasileira de Ciência Política,10.1590/0103-335220203103,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522020000100083&tlng=pt,c12301ff781ed0f3591565aa6f60c2c864c2edd92d2aeefb955fce30e628efc7,2026-06-03T23:06:09Z,58770,9018,1019,0,TRUE,TRUE,TRUE,TRUE,91,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522020000200135,O Jovem Feminismo em Madri: um debate sobre a questão (inter)geracional,The Young Feminism in Madrid: a debate on the (inter)generational question,Rosangela Schulz; M. Almudena Cabezas Gonzalez,2020,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-335220203204,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522020000200135&tlng=pt,8aa18e28a0cd083dfa3eca3c524202340c9a17a920867910d7fc138dbccba079,2026-06-03T23:06:09Z,50924,7751,872,0,TRUE,TRUE,TRUE,TRUE,93,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522024000100214,Entre o fortalecimento institucional e tendências de precarização da força de trabalho: orçamento e emprego público no Poder Judiciário (1986-2021),Between institutional strengthening and workforce deterioration: budgets and public employment in the judiciary (1986-2021),João Pedro Pacheco,2024,2178-4884,Revista Brasileira de Ciência Política,10.1590/0103-3352.2024.43.275111,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522024000100214&tlng=pt,0b249f94cbc223bd5745363d3f2014ff633aba7d523cf55ad933e16def15f2eb,2026-06-03T23:06:09Z,48488,7717,790,0,TRUE,TRUE,TRUE,TRUE,109,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0103-33522025000100208,"Lei Aldir Blanc: o impacto da pandemia na mudança institucional,",The Aldir Blanc Law: the impact of the pandemic on institutional change,Wendy Silva de Andrade; Bernardo Oliveira Buta,2025,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2025.44.285776,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522025000100208&tlng=pt,19c20090ed5360b0153a25d02bd07e887659035130a0c669d8c12af9c8385740,2026-06-03T23:06:09Z,56574,8684,1181,0,TRUE,TRUE,TRUE,TRUE,115,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0104-44782005000100007,Conflito político e instituições orçamentárias: aprofundando a democracia no Brasil,Political conflict and budgeting institutions: deepening democracy in Brazil,Aaron Schneider,2005,0104-4478,Revista de Sociologia e Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782005000100007&tlng=pt,2b637644b9872d04cb69bb4b05754a2474d2be84ec8abba00a3b97bee5f039e1,2026-06-03T23:06:09Z,55851,8370,1528,0,TRUE,TRUE,TRUE,TRUE,81,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0104-44782008000100018,"Desenvolvimento regional e descentralização político-administrativa: um estudo comparativo dos casos de Minas Gerais, Ceará e Santa Catarina","Regional development and political and administrative decentralization: a comparative study of the cases of Minas Gerais, Ceará and Santa Catarina",Walter Marcos Knaesel Birkner,2008,0104-4478,Revista de Sociologia e Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000100018&tlng=pt,e2a5fb9d651c6a19923799104c625e7471b2eb654618339391b13d4fb5b240e9,2026-06-03T23:06:09Z,53923,7825,946,0,TRUE,TRUE,TRUE,TRUE,75,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0104-44782008000200015,Política e classes sociais,Política e classes sociais,Luciano Martorano,2008,1678-9873,Revista de Sociologia e Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000200015&tlng=pt,2494acceae72fda74b58cee2d02701629db7bc9dcb27b7175263cbcfcd0d034e,2026-06-03T23:06:09Z,12026,1906,0,0,TRUE,TRUE,TRUE,TRUE,15,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0104-44782009000200015,Em busca de uma sociedade do espetáculo perdida: desafios da história social do teatro europeu,Em busca de uma sociedade do espetáculo perdida: desafios da história social do teatro europeu,Rafael Faraco Benthien,2009,1678-9873,Revista de Sociologia e Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782009000200015&tlng=pt,ec7313cbc9b92c00bbcd06fc397da674c86d6ad0a066fe9775258695b6115c2f,2026-06-03T23:06:09Z,21048,3303,0,0,TRUE,TRUE,TRUE,TRUE,23,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0104-44782012000200006,Las guerras olvidadas del Perú: formación del Estado e imaginario nacional,Peru's forgotten wars: formation of the State and a nation's imaginary,Cecilia Méndez G.; Carla Granados Moya,2012,0104-4478,Revista de Sociologia e Política,NA,research-article,es,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782012000200006&tlng=es,4d90cd83526242d6390707742e4f9455a47a6412c7f2ac69a75b726e1238d412,2026-06-03T23:06:09Z,36695,5817,1288,0,TRUE,TRUE,TRUE,TRUE,57,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0104-44782012000300006,"O tribunal de contas da união, controle horizontal de agências reguladoras e impacto sobre usuários dos serviços","The federal court of auditors, horizontal control of regulatory agencies in Brazil and its impact on service users",Monique Menezes,2012,0104-4478,Revista de Sociologia e Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782012000300006&tlng=pt,0ff2e4c71ad4083e2aa9b5e5e7468e51d3fa372985e516d8cde1d06c481d2eb6,2026-06-03T23:06:09Z,67443,10197,1967,0,TRUE,TRUE,TRUE,TRUE,101,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0104-44782013000300008,Os determinantes dos resultados de soma positiva em Minas Gerais e no Rio Grande do Sul,The determinants of positive-sum outcomes in the Brazilian state assemblies of Minas Gerais and Rio Grande do Sul,Felipe Nunes,2013,0104-4478,Revista de Sociologia e Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300008&tlng=pt,e78a0b53adeff374ada0d28f779190a7d86d732edefd0beae8e57164245c084b,2026-06-03T23:06:09Z,69681,10840,1459,0,TRUE,TRUE,TRUE,TRUE,122,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0104-44782014000100003,"Indicação e intermediação de interesses: uma análise da conexão eleitoral na cidade do Rio de Janeiro, 2001-2004","Indicação e intermediação de interesses: uma análise da conexão eleitoral na cidade do Rio de Janeiro, 2001-2004",Paulo M. d'Avila Filho; Paulo Cesar G. de Cerqueira Lima; Vladimyr Lombardo Jorge,2014,0104-4478,Revista de Sociologia e Política,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782014000100003&tlng=pt,577f7acde5ae61f35ecdf732bd86a8a7239081783ea1e58ee3b86e10179bca13,2026-06-03T23:06:09Z,55048,8546,2930,0,TRUE,TRUE,TRUE,TRUE,77,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
