pid,title,journal_title,journal_area,year,period_3,eligible_order,credibility_revolution_method_present,method_type,causal_design_quote,tough_call_reason,method_class
S1981-38212019000300200,The World Cup and Presidential Popularity in Brazil,Brazilian Political Science Review,Ciência Política,2019,2019-2025,167,FALSE,observational_regression_with_causal_claim_no_design,"Unfortunately, the quantitative analyses do not completely elucidate the most probable direction of causality, and there are no additional data that would allow us to solve this problem.","The paper uses causal language about a negative rally effect and attempts to clarify causal direction with focus groups, but the quantitative design is observational logistic regression and the authors explicitly state that the data cannot fully resolve causality. Therefore it is screened but not classified as a credibility-revolution method.",diagnostic_not_design
S1981-38212019000300201,Clientelism and Local Politics: Interactions Between Municipal Councilors and Voters in the State of Minas Gerais,Brazilian Political Science Review,Ciência Política,2019,2019-2025,168,FALSE,observational_regression_with_causal_claim_no_design,"""The main goal of this analysis was to estimate the effect of context variables over the councilor's predisposition towards clientelism (PCI) while adjusting for councilor's characteristics.""","The article uses explanatory and effect language in observational multilevel models, but it also describes the contribution as mainly descriptive and does not present a design-based identification strategy; therefore it screens in for statistical modeling but not as a credibility-revolution method.",diagnostic_not_design
S1981-38212019000300202,Parliamentary Supervision of Brazilian Foreign Policy: An analysis of Approval of Authorities,Brazilian Political Science Review,Ciência Política,2019,2019-2025,169,FALSE,none_detected,NA,"The article is clearly quantitative, but its qualitative component is less central: much of the non-quantitative material is institutional framing and case interpretation rather than a fully separate qualitative research design. I classify it as mixed_empirical because the paper substantively uses institutional/legal evidence and specific nomination cases to interpret the quantitative patterns.",diagnostic_not_design
S1981-38212019000300203,Race and Competitiveness in Brazilian Elections: Evaluating the Chances of Black and Brown Candidates through Quantile Regression Analysis of Brazil's 2014 Congressional Elections,Brazilian Political Science Review,Ciência Política,2019,2019-2025,170,FALSE,observational_regression_with_causal_claim_no_design,"""there is a possibility of bias in the estimates depending on whether financing-related information is included""","The article uses causal language and reports observational regression and quantile regression with controls, but it also acknowledges endogeneity around campaign finance and does not present an explicit design-based identification strategy. Therefore it is screened but not classified as using a credibility-revolution method.",diagnostic_not_design
S1981-38212019000300204,What do State Institutions Say? Twitter as a Public Communication Tool During the Impeachment of Dilma Rousseff,Brazilian Political Science Review,Ciência Política,2019,2019-2025,171,FALSE,none_detected,NA,"The quantitative evidence includes chi-squared tests, standardized residuals, Cramer's V, and correspondence analysis. This goes beyond descriptive statistics, but the article is not a causal credibility-revolution study; its explanatory claims about instrumentalization rest on content analysis rather than a design-based causal strategy.",diagnostic_not_design
S1981-38212020000100200,Brazilian International Development Cooperation and Public Opinion: Domestic Costs Faced by a Troubled Emerging Donor,Brazilian Political Science Review,Ciência Política,2020,2019-2025,172,TRUE,experiment_survey,the participants were randomly assigned to a control group or one of two treatment groups,"The article is clearly quantitative and experimental, but the mixed_empirical and qualitative classification requires judgment because the qualitative material is mainly contextual and motivational rather than a standalone qualitative analysis. It is still substantive because the article uses legislative episodes, campaign rhetoric, foreign-policy history, and MINUSTAH context to build and interpret the empirical argument.",strict_design_method
S1981-38212020000100201,How 'Democratic' is the Democratic Peace? A Survey Experiment of Foreign Policy Preferences in Brazil and China,Brazilian Political Science Review,Ciência Política,2020,2019-2025,173,TRUE,experiment_survey,Our study involved survey experiments in China and Brazil.,NA,strict_design_method
S1981-38212020000100202,The Presence of Incumbents Electoral Competition and Reelection in Brazil (1990-2014),Brazilian Political Science Review,Ciência Política,2020,2019-2025,174,FALSE,fixed_effects_causal_panel_claim,The fixed effects model (1) identifies the concentration of revenue and the percentage of incumbents in the coalition as the only significant explanatory variables,"The article uses causal language, panel regressions, fixed effects, WLS, controls, and interaction terms to estimate effects, but it does not present a design-based identification strategy. Fixed effects alone are therefore not classified as DiD or as a credibility-revolution method.",diagnostic_not_design
S1981-38212020000100202,The Presence of Incumbents Electoral Competition and Reelection in Brazil (1990-2014),Brazilian Political Science Review,Ciência Política,2020,2019-2025,174,FALSE,observational_regression_with_causal_claim_no_design,The fixed effects model (1) identifies the concentration of revenue and the percentage of incumbents in the coalition as the only significant explanatory variables,"The article uses causal language, panel regressions, fixed effects, WLS, controls, and interaction terms to estimate effects, but it does not present a design-based identification strategy. Fixed effects alone are therefore not classified as DiD or as a credibility-revolution method.",diagnostic_not_design
S1981-38212020000300201,"Individual Conditioning Factors of Political Protest in Latin America: Effects of Values, Grievance and Resources",Brazilian Political Science Review,Ciência Política,2020,2019-2025,181,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article uses explanatory and effect language with observational linear regression, but it does not articulate a design-based causal identification strategy. It should therefore be screened because it uses statistical modeling, but not counted as a credibility-revolution method.",diagnostic_not_design
S1981-38212020000300202,Political Science in Latin America: A Scientometric Analysis,Brazilian Political Science Review,Ciência Política,2020,2019-2025,182,FALSE,none_detected,NA,"The main judgment is whether bibliometric co-citation and co-word network analysis should be classified as descriptive statistics only or statistical_modeling. Because the prompt explicitly includes network models under statistical_modeling and the article constructs and interprets bibliometric networks with clustering and centrality measures, statistical_modeling is the better fit. However, the authors themselves describe the study as exploratory and descriptive, and it contains no statistical inference.",diagnostic_not_design
S1981-38212021000100201,Ministerial Typology and Political Appointments: Where and How Do Presidents Politicize the Bureaucracy?,Brazilian Political Science Review,Ciência Política,2021,2019-2025,186,FALSE,none_detected,NA,NA,diagnostic_not_design
S1981-38212021000100202,From Antipetismo to Generalized Antipartisanship: The Impact of Rejection of Political Parties on the 2018  Vote for Bolsonaro,Brazilian Political Science Review,Ciência Política,2021,2019-2025,187,FALSE,observational_regression_with_causal_claim_no_design,"""For the empirical test of the effects of antipartisan types on voting in the 2018 presidential elections, we built two logistic regression models""","The article repeatedly uses causal and effect language, but the empirical strategy is observational logistic regression with controls and does not articulate a design-based identification strategy or credibility-revolution method.",diagnostic_not_design
S1981-38212021000100203,The Effects of Conditionality Monitoring on Educational Outcomes: Evidence from Brazil’s Bolsa Família Programme,Brazilian Political Science Review,Ciência Política,2021,2019-2025,188,FALSE,observational_regression_with_causal_claim_no_design,it is then possible to estimate how much of the variation in the dependent variable is associated with the variation in these two dimensions of Bolsa Família,"The paper uses language about effects and treatment proxies, but the actual design is an ecological observational regression/growth-curve analysis with explicit limitations about ecological fallacy and proxy validity; no design-based causal identification strategy is presented.",diagnostic_not_design
S1981-38212021000200202,"Left-Wing Governmental Alliance in Portugal, 2015-2019: A Way of Renewing and Rejuvenating Social Democracy?",Brazilian Political Science Review,Ciência Política,2021,2019-2025,190,FALSE,none_detected,NA,"The article makes explanatory claims and uses descriptive quantitative evidence, so it triggers screening through causal claims associated with quantitative analysis. However, the author explicitly frames the hypotheses as descriptive in a single case and provides no statistical inference or identification design, so no credibility-revolution method is present.",diagnostic_not_design
S1981-38212021000200203,Specialists and Politics: The Recruitment of Presidents and Directors of BNDES in the PSDB and PT Administrations,Brazilian Political Science Review,Ciência Política,2021,2019-2025,191,FALSE,none_detected,NA,"The main ambiguity is whether descriptive social network analysis should be coded as descriptive quantitative analysis or statistical modeling. I classify it as statistical_modeling because the prompt explicitly includes network models in that category and the article constructs one-mode networks, applies clustering algorithms, and analyzes centrality and cohesion metrics, even though it does not report statistical inference.",diagnostic_not_design
S1981-38212021000300202,The Gendered Division of Labor in Brazilian Political Science Journals,Brazilian Political Science Review,Ciência Política,2021,2019-2025,196,FALSE,none_detected,NA,NA,diagnostic_not_design
S1981-38212022000100202,Sources of the Incumbency (Dis)Advantage,Brazilian Political Science Review,Ciência Política,2022,2019-2025,201,TRUE,regression_discontinuity,RDD designs based on elections are particularly common since the discontinuous assignment of victory in close races often provides a credible research design to make causal inferences about the effect of incumbency on the likelihood of reelection.,NA,strict_design_method
S1981-38212022000100205,Electoral Dividends from Programmatic Policies: A Theoretical Proposal Based on the Brazilian Case,Brazilian Political Science Review,Ciência Política,2022,2019-2025,204,FALSE,observational_regression_with_causal_claim_no_design,"In the three models, the control variables - factors that I consider to be related to being a cash transfer beneficiary and to voting - are education, income, age, region, and nature of the municipality.","The article repeatedly uses impact and electoral-effect language and models survey outcomes with controls, but it does not present a design-based identification strategy. The appropriate credibility classification is therefore observational regression with causal/explanatory claims but no credibility-revolution method.",diagnostic_not_design
S1981-38212022000100401,"The Best of Two Worlds: Selection Strategies for Vice-Presidential Candidates,",Brazilian Political Science Review,Ciência Política,2022,2019-2025,205,FALSE,none_detected,NA,NA,diagnostic_not_design
S1981-38212022000200202,Why has Participatory Budgeting Declined in Brazil?,Brazilian Political Science Review,Ciência Política,2022,2019-2025,206,FALSE,fixed_effects_causal_panel_claim,The analysis follows a panel data model with fixed effects of time.,"The article makes explanatory claims and uses panel fixed effects, but it does not articulate a design-based causal identification strategy. I therefore treat it as observational regression with causal/explanatory claims rather than a credibility-revolution method.",diagnostic_not_design
S1981-38212022000200202,Why has Participatory Budgeting Declined in Brazil?,Brazilian Political Science Review,Ciência Política,2022,2019-2025,206,FALSE,observational_regression_with_causal_claim_no_design,The analysis follows a panel data model with fixed effects of time.,"The article makes explanatory claims and uses panel fixed effects, but it does not articulate a design-based causal identification strategy. I therefore treat it as observational regression with causal/explanatory claims rather than a credibility-revolution method.",diagnostic_not_design
S1981-38212022000200205,Digital activism and democratic culture: can digital technologies help save democracy?,Brazilian Political Science Review,Ciência Política,2022,2019-2025,209,FALSE,observational_regression_with_causal_claim_no_design,"With these two components as dependent variables, we ran multiple linear regression models using the democratic culture variables from Table 05 as independent variables and the socio-demographic variables from Table 04 as controls.","The article often uses associational language but also claims digital participation may improve or foster democratic culture. Because the empirical strategy is observational PCA and regression without an explicit causal identification strategy, it is screened but not classified as using a credibility-revolution method.",diagnostic_not_design
S1981-38212022000200206,"Building Parties’ Grassroots: Electoral Systems, Party Organizations, and Social Linkages from a Cross-National Perspective",Brazilian Political Science Review,Ciência Política,2022,2019-2025,210,FALSE,observational_regression_with_causal_claim_no_design,"""we controlled for unobserved heterogeneity by adding the fixed-effects at regions, countries, and party levels, thus estimating the effects of 'modified intraparty efficiency index', average district magnitude, and party organization variables on party-group linkages""","The article uses fixed-effects panel models and causal/explanatory language about effects, but it does not articulate a design-based identification strategy such as DiD, IV, RDD, experiment, synthetic control, or matching. I therefore screen it but code the credibility-revolution method as absent.",diagnostic_not_design
S1981-38212022000200207,-State Presence in Brazilian Social Assistance Services: Effects on the Creation of Nonprofit Private Providers,Brazilian Political Science Review,Ciência Política,2022,2019-2025,211,FALSE,observational_regression_with_causal_claim_no_design,"Admittedly, we should not take our regression results as causal, since we work with observational data and lack a design feature that could emulate a counterfactual scenario.",NA,diagnostic_not_design
S1981-38212022000300201,The Relationship between Ideology and COVID-19 Deaths: What We Know and What We Still Need to Know,Brazilian Political Science Review,Ciência Política,2022,2019-2025,212,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article is primarily a methodological critique of ecological inference, but it also presents its own descriptive figures and monthly linear regression estimates with confidence intervals. That makes it empirical quantitative with statistical modeling, even though its own goal is diagnostic and critical rather than to claim a validated causal effect.",diagnostic_not_design
S1981-38212022000300204,"Does the Before Influence the After? Career Paths, Nominations, and Votes of the STF Justices",Brazilian Political Science Review,Ciência Política,2022,2019-2025,215,FALSE,observational_regression_with_causal_claim_no_design,"In all models, we used control variables related to the cases adjudicated by the STF, more specifically, the type of crime and the item of the criminal complaint to which the rulings refer.","The article repeatedly uses causal language about career paths affecting votes and estimates logistic regression models with controls, but it does not articulate a design-based causal identification strategy or assumptions sufficient to count as a credibility-revolution method.",diagnostic_not_design
S1981-38212023000100201,Question of Timing: Pre-Electoral Coalitions in Multiparty Presidential Regimes,Brazilian Political Science Review,Ciência Política,2023,2019-2025,217,FALSE,none_detected,NA,"The article uses causal/explanatory language and set-theoretic terminology about necessity, but its own quantitative evidence is descriptive counts and percentages, with no statistical inference or causal identification design.",diagnostic_not_design
S1981-38212023000100203,"Better Incentives, Better Marks: A Synthetic Control Evaluation of the Educational Policies in Ceará, Brazil",Brazilian Political Science Review,Ciência Política,2023,2019-2025,219,TRUE,synthetic_control,SCM is employed in this investigation to overcome this limitation.,NA,strict_design_method
S1981-38212023000100203,"Better Incentives, Better Marks: A Synthetic Control Evaluation of the Educational Policies in Ceará, Brazil",Brazilian Political Science Review,Ciência Política,2023,2019-2025,219,TRUE,other_modern_causal_method,SCM is employed in this investigation to overcome this limitation.,NA,broad_other_modern_causal_method
S1981-38212023000200201,Mandatory Individual Amendments: a Change in the Pattern of Executive Dominance in the Brazilian Budgetary and Financial Cycle,Brazilian Political Science Review,Ciência Política,2023,2019-2025,223,TRUE,difference_in_differences,"""This arrangement is appropriate for the difference-in-difference method, which consists in comparing changes in the pattern of the dependent variable between the treatment groups – coalition and reelected deputies after EC 86/2015 – and the control group.""","The quantitative and causal classifications are clear, but the mixed-empirical classification requires judgment because much of the qualitative material is institutional/legal reconstruction rather than interview- or ethnography-style qualitative analysis. It is still substantive qualitative evidence because the article uses legislative speeches, constitutional texts, procedural rules, and documentary evidence to reconstruct the institutional change and its mechanisms.",strict_design_method
S1981-38212023000200204,"From the Specific to the Diffuse: the Indirect Effect of Crime Victimization on Support for Democracy,",Brazilian Political Science Review,Ciência Política,2023,2019-2025,226,TRUE,matching_or_weighting,"This strategy consists of three main steps. First, I run several matching estimations to achieve covariate balance between treatment and control groups... Second, I employ a novel mediation analysis approach, the regression-with-residuals (RWR)... Third, I run sensitivity analyses",NA,strict_design_method
S1981-38212023000200204,"From the Specific to the Diffuse: the Indirect Effect of Crime Victimization on Support for Democracy,",Brazilian Political Science Review,Ciência Política,2023,2019-2025,226,TRUE,dag_or_formal_causal_graph,"This strategy consists of three main steps. First, I run several matching estimations to achieve covariate balance between treatment and control groups... Second, I employ a novel mediation analysis approach, the regression-with-residuals (RWR)... Third, I run sensitivity analyses",NA,strict_design_method
S1981-38212023000200204,"From the Specific to the Diffuse: the Indirect Effect of Crime Victimization on Support for Democracy,",Brazilian Political Science Review,Ciência Política,2023,2019-2025,226,TRUE,other_modern_causal_method,"This strategy consists of three main steps. First, I run several matching estimations to achieve covariate balance between treatment and control groups... Second, I employ a novel mediation analysis approach, the regression-with-residuals (RWR)... Third, I run sensitivity analyses",NA,broad_other_modern_causal_method
S1981-38212023000200206,"Political Institutions, Electoral Systems, and Party Stability in 40 Democracies Including Brazil",Brazilian Political Science Review,Ciência Política,2023,2019-2025,228,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article repeatedly uses causal and effects language, but it also frames institutions as not necessary or sufficient causes and relies on observational GEE panel modeling without a design-based identification strategy. Therefore it should be screened but not coded as using a credibility-revolution method.",diagnostic_not_design
S1981-38212023000300202,"Access, Technology, and Transition: Mapping the Themes of the Debate on Energy at the United Nations General Assembly (2000-2020),",Brazilian Political Science Review,Ciência Política,2023,2019-2025,230,FALSE,none_detected,NA,"The main ambiguity is that hierarchical clustering and correspondence analysis are exploratory dimensionality-reduction methods without inferential tests. Under the prompt schema, clustering and PCA/factor-like dimensionality reduction count as statistical modeling, but the article still has no statistical inference and no causal identification design.",diagnostic_not_design
S1981-38212023000300204,"Climate Change, Denialism, and Participatory Institutions in Brazil: Effects of the Bolsonaro Government's Environmental Strategy (2019-2022)",Brazilian Political Science Review,Ciência Política,2023,2019-2025,232,FALSE,none_detected,NA,"The article's quantitative component is descriptive and embedded in a mostly qualitative institutional argument. It should count as Torreblanca-style quantitative because the authors explicitly use council-meeting and budget-execution indicators from official sources, but it does not go beyond descriptive statistics and does not use a credibility-revolution causal design.",diagnostic_not_design
S1981-38212023000300701,"The Environment in Brazil&#8217;s 2022 Presidential Election,",Brazilian Political Science Review,Ciência Política,2023,2019-2025,234,FALSE,observational_regression_with_causal_claim_no_design,"""All tests confirm the assumptions of the issue salience and issue ownership theories. In other words, taking the environmental issue as prominent and identifying a candidate as the owner of the issue increases the predisposition to vote for this contender, even when controlled by other explanatory variables""","The article uses causal and effect language with controlled observational survey models, but it does not present a design-based identification strategy; therefore it passes the statistical-modeling screen but should not be counted as using a credibility-revolution method.",diagnostic_not_design
S1981-38212024000100201,Political Support for Sale: Cabinet Appointments and Public Expenditures in Brazil,Brazilian Political Science Review,Ciência Política,2024,2019-2025,235,FALSE,fixed_effects_causal_panel_claim,"As a robustness check of our FWLS results, we use fixed effects models to calculate the fitted values isolating the four years of the analysis by considering each one as a sub-sample.","The article uses fixed effects regressions and explanatory language, but it does not articulate a design-based causal identification strategy. Therefore the fixed effects are coded as observational causal/explanatory modeling without a credibility-revolution method rather than as DiD or another modern causal design.",diagnostic_not_design
S1981-38212024000100201,Political Support for Sale: Cabinet Appointments and Public Expenditures in Brazil,Brazilian Political Science Review,Ciência Política,2024,2019-2025,235,FALSE,observational_regression_with_causal_claim_no_design,"As a robustness check of our FWLS results, we use fixed effects models to calculate the fitted values isolating the four years of the analysis by considering each one as a sub-sample.","The article uses fixed effects regressions and explanatory language, but it does not articulate a design-based causal identification strategy. Therefore the fixed effects are coded as observational causal/explanatory modeling without a credibility-revolution method rather than as DiD or another modern causal design.",diagnostic_not_design
S1981-38212024000100202,Following the Trail of Words: Mapping the Trending Topics of Graduate Research in the Brazilian IR Scholarship (1987-2018),Brazilian Political Science Review,Ciência Política,2024,2019-2025,236,FALSE,none_detected,NA,"The article combines original quantitative text-as-data modeling with qualitative historical contextualization. It also makes explanatory claims, but these are not supported by a design-based causal identification strategy, so no credibility-revolution method is present.",diagnostic_not_design
S1981-38212024000100204,"Separate Tables: Thematic and Methodological Divisions in Brazilian Political Science,,",Brazilian Political Science Review,Ciência Política,2024,2019-2025,238,FALSE,none_detected,NA,"The quantitative classification is a borderline case because the article uses network analysis and centrality/modularity metrics rather than regression or hypothesis testing. I classify it as statistical_modeling because network models are explicitly constructed and analytically interpreted. The credibility-revolution method is absent because the network analysis is descriptive and exploratory, not a causal identification design.",diagnostic_not_design
S1981-38212024000200202,The Politics of Agribusiness in Brazil: Business Power and Political Success during the 55th Legislature (2015-2019),Brazilian Political Science Review,Ciência Política,2024,2019-2025,240,FALSE,observational_regression_with_causal_claim_no_design,We employed a logistic regression model,"The article uses documentary sources to code variables and sometimes uses causal language, but its original empirical analysis is primarily statistical modeling of structured data, with no explicit design-based causal identification strategy.",diagnostic_not_design
S1981-38212024000300203,Every Mind is a Different World: do Judges Truly Decide in Such Diverse Ways?,Brazilian Political Science Review,Ciência Política,2024,2019-2025,247,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article uses explanatory language about ideology influencing judicial decisions and estimates logistic regressions, but it also describes the study as exploratory and does not present a design-based identification strategy; therefore it should be screened but not counted as a credibility-revolution method.",diagnostic_not_design
S1981-38212024000300205,Violence and Democratic Legitimacy in Latin America: Causal Mechanisms and Contextual Effects,Brazilian Political Science Review,Ciência Política,2024,2019-2025,249,FALSE,observational_regression_with_causal_claim_no_design,"We employed fixed-effects models to refine the focus of our analyses. However, during the exploration and definition of the research design, we also conducted random-effects models for victimization and feeling of insecurity.","The article uses strong causal language, hypotheses, fixed-effects terminology, and contextual interactions, but the body text shows observational regression/multilevel modeling rather than a design-based causal identification strategy. Fixed effects are not sufficient to classify the study as DiD or another credibility-revolution method.",diagnostic_not_design
S1981-38212025000100201,A Constitution I Am Used To? Constitutional Endurance and Replacement in Democratic Latin America,Brazilian Political Science Review,Ciência Política,2025,2019-2025,250,FALSE,none_detected,NA,"QCA is a formal set-theoretic causal method rather than a conventional regression model. The schema has no separate QCA category, so statistical_modeling is the closest available option because the article goes well beyond descriptive statistics and bivariate tests, uses calibrated variables, necessity and sufficiency analysis, truth tables, consistency, coverage, and robustness checks.",diagnostic_not_design
S1981-38212025000100205,The Torrents of Spring : The Role of Governance Capacity in the Developing World during the COVID-19 Pandemic,Brazilian Political Science Review,Ciência Política,2025,2019-2025,254,FALSE,observational_regression_with_causal_claim_no_design,"Since omitted variable bias is still an ever-present problem in comparative studies... we re-estimated our model using two-weekly dynamic random-effects panel data, taking the lagged dependent variable as another control","The article repeatedly uses causal language such as effects and reductions and estimates panel and dynamic random-effects models with controls, but it does not present a design-based identification strategy or explicit causal identification assumptions. Therefore it passes the screen but is best coded as observational regression with causal claim and no credibility-revolution design.",diagnostic_not_design
S1981-38212025000100206,Is the Public Sphere Still Alive? Longitudinal Analysis of Climate Change Issue Attention Across Newspapers and Social Media Platforms (2014-2022),Brazilian Political Science Review,Ciência Política,2025,2019-2025,255,FALSE,none_detected,NA,NA,diagnostic_not_design
S1981-38212025000100207,The Electoral Support for Law and Order Candidates: Violence and Local State Capacities,Brazilian Political Science Review,Ciência Política,2025,2019-2025,256,FALSE,observational_regression_with_causal_claim_no_design,"Additionally, we must approach causal arguments based on observational data with caution and acknowledge the ecological nature of our information.",NA,diagnostic_not_design
S1981-38212025000200202,When Democracy Divides the Electorate: Voting in the 2022 Brazilian Presidential Election,Brazilian Political Science Review,Ciência Política,2025,2019-2025,258,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article uses explanatory language and regression models to analyze vote choice, but the supplied text does not present a design-based causal identification strategy. Therefore it should be screened for credibility-revolution methods but classified as observational regression with causal or explanatory claims and no credibility-revolution design.",diagnostic_not_design
S1981-38212025000200702,Brazil's Journey Against Illegal Mining,Brazilian Political Science Review,Ciência Política,2025,2019-2025,262,FALSE,none_detected,NA,"The quantitative classification is a borderline case because the article relies heavily on compiled descriptive data from external official and NGO sources, and the task packet references tables without showing full table contents. I classify it as descriptive quantitative analysis because the body itself presents and interprets descriptive trends, growth rates, volumes, and table-based evidence, but no inferential or modeled analysis.",diagnostic_not_design
S1981-38212025000300201,Punctuated Equilibrium Theory and the Dynamics of Change in Brazil&#8217;s Federal Budget (2000-2021),Brazilian Political Science Review,Ciência Política,2025,2019-2025,263,FALSE,none_detected,NA,"The article self-describes the methodology as qualitative and quantitative and previews econometric models, but the provided body shows coding plus descriptive distributional statistics rather than substantive qualitative analysis, statistical inference, or reported statistical modeling.",diagnostic_not_design
S1981-38212025000300202,Does Greater Women&#8217;s Presence Make a Difference? The Composition of Executive Party Committees and the Allocation of Public Funds for Election Campaigns in the 2018 Race to Brazil&#8217;s Chamber of Deputies,Brazilian Political Science Review,Ciência Política,2025,2019-2025,264,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article uses causal and effect language and estimates beta regression models, but it explicitly says causal relationship cannot be established and provides no design-based identification strategy. Therefore it should be screened for credibility-revolution methods but classified as observational regression with causal or explanatory claims and no credibility-revolution design.",diagnostic_not_design
S2236-57102023000100205,A AGENDA DE PESQUISA DA BUROCRACIA DE NÍVEL DE RUA NO CONTEXTO DA PANDEMIA: UMA REVISÃO INTEGRATIVA,Cadernos Gestão Pública e Cidadania,Administração Pública,2023,2019-2025,274,FALSE,none_detected,NA,"A decisão difícil é classificar a análise bibliométrica com VOSviewer. O texto apresenta redes e clusters de coautoria, coocorrência, cocitação e acoplamento bibliográfico, o que se aproxima de clustering usado analiticamente e por isso foi classificado como `statistical_modeling`; porém os resultados são descritos sem inferência estatística e poderiam ser vistos como bibliometria descritiva em uma leitura mais restritiva.",diagnostic_not_design
S2236-57102023000100206,Mapeando a pesquisa de desenho de políticas públicas: uma revisão sistemática da literatura,Cadernos Gestão Pública e Cidadania,Administração Pública,2023,2019-2025,275,FALSE,none_detected,NA,"The article is a systematic literature review, which could be non-empirical if it only summarized prior work. Here it performs its own bibliometric network and clustering analysis plus qualitative content synthesis of a publication corpus, so it is classified as mixed empirical. The quantitative analysis is coded as statistical_modeling because the prompt includes analytically used clustering and network models, even though the article reports no statistical inference.",diagnostic_not_design
S2236-57102023000100208,DETERMINANTES DOS PRAZOS DAS COMPRAS PÚBLICAS POR MEIO DE PREGÃO ELETRÔNICO,Cadernos Gestão Pública e Cidadania,Administração Pública,2023,2019-2025,277,FALSE,observational_regression_with_causal_claim_no_design,A Tabela 5 fornece os dados para interpretação dos coeficientes de regressão.,"O artigo usa linguagem de fatores determinantes, impacto e confirmação de hipóteses com regressão múltipla, mas não apresenta uma estratégia explícita de identificação causal; por isso passa pelo screen por modelagem estatística, mas é classificado como regressão observacional com claim causal ou explicativo sem desenho de credibilidade.",diagnostic_not_design
S2236-57102023000100210,CAPACIDADES ESTATAIS E POLÍTICAS MUNICIPAIS DE EDUCAÇÃO DURANTE A PANDEMIA DE COVID-19,Cadernos Gestão Pública e Cidadania,Administração Pública,2023,2019-2025,279,FALSE,observational_regression_with_causal_claim_no_design,Reforçamos que o uso desse tipo de proxy e modelo de regressão para discutir capacidades estatais já é consolidado na literatura,"O artigo usa linguagem de efeitos e regressões logísticas para explicar respostas municipais, mas não apresenta desenho de identificação causal; por isso passa pelo screen de modelagem estatística, mas o método é regressão observacional com reivindicação explicativa, não um método da revolução da credibilidade.",diagnostic_not_design
S2236-57102023000100220,COMPETÊNCIAS NO SETOR PÚBLICO: PANORAMA DA PRODUÇÃO CIENTÍFICA (INTER)NACIONAL,Cadernos Gestão Pública e Cidadania,Administração Pública,2023,2019-2025,288,FALSE,none_detected,NA,"A principal ambiguidade é classificar uma revisão bibliométrica como empírica: ela é uma revisão de literatura, mas realiza coleta, codificação e análise própria de um corpus de artigos. A ACM justifica `statistical_modeling`, embora o uso seja exploratório e sem inferência estatística.",diagnostic_not_design
S2236-57102023000100403,CAMPO DE PÚBLICAS NO BRASIL: DIAGNÓSTICO EXPLORATÓRIO REALIZADO PELA REDE DE PESQUISA DO CAMPO DE PÚBLICAS,Cadernos Gestão Pública e Cidadania,Administração Pública,2023,2019-2025,292,FALSE,none_detected,NA,"A decisão central é classificar a análise textual com IRAMUTEQ como statistical_modeling. O artigo é majoritariamente descritivo-exploratório, mas usa classificação hierárquica descendente, análise fatorial de correspondência e análise de similitude sobre corpus textual, que se enquadram melhor como modelagem/análise quantitativa de texto do que como estatísticas descritivas simples.",diagnostic_not_design
S2236-57102023000100404,O ENSINO DE ADMINISTRAÇÃO PÚBLICA: ELEMENTOS PRELIMINARES DE UMA HISTÓRIA INTELECTUAL INTERDISCIPLINAR,Cadernos Gestão Pública e Cidadania,Administração Pública,2023,2019-2025,293,FALSE,none_detected,NA,"A classificação como mixed_empirical é uma decisão interpretativa: a análise original é claramente quantitativa de texto como dado, enquanto o componente qualitativo aparece sobretudo na reconstrução histórico-institucional e na interpretação substantiva de documentos e agrupamentos, não como uma técnica qualitativa autônoma.",diagnostic_not_design
S2236-57102023000100408,A TRAJETÓRIA INSTITUCIONAL DO PROGRAMA NACIONAL DE FORMAÇÃO EM ADMINISTRAÇÃO PÚBLICA NA UNIVERSIDADE FEDERAL DE OURO PRETO,Cadernos Gestão Pública e Cidadania,Administração Pública,2023,2019-2025,297,FALSE,none_detected,NA,"A análise quantitativa é apenas descritiva, mas o artigo associa esses dados a hipóteses e alegações explicativas sobre evasão, financiamento e gestão. Por isso o rastreamento de credibilidade é aplicável pelo vínculo entre análise quantitativa e causalidade substantiva, embora nenhum método causal de credibilidade seja usado.",diagnostic_not_design
S2236-57102024000100203,"CONSTITUIÇÃO, EMENDAS CONSTITUCIONAIS E POLÍTICAS PÚBLICAS: A ATENÇÃO GOVERNAMENTAL EM MUDANÇAS CONSTITUCIONAIS",Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,306,FALSE,none_detected,NA,"O artigo é essencialmente descritivo e baseado em análise de conteúdo, mas usa linguagem explicativa e causal sobre emendas, agendas de governo e mudanças constitucionais. Isso justifica a triagem por causal claim with quantitative analysis, embora não haja desenho causal de credibilidade nem inferência estatística.",diagnostic_not_design
