pid,title,year,journal_title,source_file,input_text_hash,error_in_raw_text,subfield,is_empirical_quant_paper,general_goal_of_analysis,single_country_study,single_region,countries_of_focus,paper_uses_survey_data,uses_original_dataset,seeks_determinants,main_causal_research_design,other_research_design,instrumental_variable_instrument,placebo_test,independent_variables,dependent_variables,main_variable_relationship,makes_explicit_causal_claim,makes_implicit_causal_claim,strong_non_causal_causal_qualification,sample_size,sample_size_quote,claims_any_statistically_significant_results,references_power_analysis,clearly_defined_explanatory_variable,clear_causal_quantity_of_interest,specifies_estimate_equations,discusses_threats_to_causality,statement_of_identification_assumptions_quote,statement_of_identification_assumptions,effort_to_explore_mechanisms,mentions_pre_registered_design_and_analysis_plan,evidence_type,method_status,brief_justification
S0034-76122017000500879,Determinantes para o cumprimento de prazo e preço em obras da educação: uma análise nos municípios capixabas,2017,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122017000500879.xml,3edc078b0df2c97038d501b3dc21e0b8b1e8ea57d5852d6131814d24ef19037c,Missing/Corrupt,Public Policy/Administration,TRUE,Explain,single_country,single_region,Brazil,no_survey_data,not_original,TRUE,Kitchen Sink Linear Model,<NULL>,<NULL>,<NULL>,,,,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,TRUE,FALSE,FALSE,<NULL>,<NULL>,,,<NULL>,quantitative,,
S0034-76122020000100181,"Ecossistema de inovação social, sustentabilidade e experimentação democrática: um estudo em Florianópolis",2020,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122020000100181.xml,37ef77bdc7c03be1a273cffee82ebf4d9222c191850a1df17c54d4795ac9ab3c,Missing/Corrupt,Public Policy/Administration,FALSE,,single_country,single_region,Brazil,no_survey_data,field_study,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,,
S0034-76122022000600694,O mito da meritocracia: academicismo e falhas metodológicas nos concursos públicos brasileiros,2022,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122022000600694.xml,0f565823c210fa1d6a383785c14c3ead943c5813af90d8d75c300f7ea8463160,Missing/Corrupt,Public Policy/Administration,TRUE,Describe,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,,<NULL>,quantitative,explicit,
S0034-76122023000500502,Estratégia nacional de inovação: uma breve contribuição para sua efetividade sob a perspectiva de acumulação de capacidade tecnológica,2023,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122023000500502.xml,4a4a30d7a7214cfe85cfe48366c31d51cdcf91d5ab75d8dbd0b07cc6b9a005a3,Missing/Corrupt,Public Policy/Administration,FALSE,,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,,
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122024000200402.xml,5a4d80a13e0c76b91051112c63a01783ad0a402837592cd232b28067726f1645,Missing/Corrupt,Public Policy/Administration,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,field_study,TRUE,Other,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,TRUE,FALSE,FALSE,15,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,explicit,
S0101-33002005000200003,Impasses do desenvolvimento,2005,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002005000200003.xml,d4e0ba8229b538aed49902553b2571f97887e47ff18083676f14aee48eec05c5,Missing/Corrupt,International Relations,FALSE,Describe,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0101-33002006000200016,Do sonho ao sonhar,2006,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002006000200016.xml,432deaad11ca849f33c343c7cfdd37a5592d709f7777f7ecd836e62f8bd322ee,Missing/Corrupt,Other,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0101-33002007000200016,Teoria social e o racismo no Brasil,2007,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002007000200016.xml,4f4c8ecdd977bec0c908f66ade9b3ee7681a9238d3d8ac92d1df1262d2b22c66,Missing/Corrupt,Other,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0101-33002011000300004,Trabalhar para estudar: sobre a pertinência da noção de transição escola-trabalho no Brasil,2011,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002011000300004.xml,e32311ef0f5932fd909f963c3bdfe579796b9a155c2fe85f850dbeaf8795a58e,Missing/Corrupt,Public Policy/Administration,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,essayistic,
S0101-33002013000100006,A mudança nos gostos: que gosto as coisas tinham no começo da era moderna e que gosto têm agora,2013,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002013000100006.xml,5c711bafedbf105540db4df6aeeea3bf29d6084cda0b90b112964d59c6b6a909,Missing/Corrupt,Other,FALSE,Describe,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0101-33002014000100004,Escassez de engenheiros no Brasil? uma proposta de sistematização do debate,2014,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002014000100004.xml,2e6d2efc60eaa502f95ce31eb5a858a38d86f1a4727ed3700367557003493012,Missing/Corrupt,Public Policy/Administration,TRUE,Describe,single_country,<NULL>,Brazil,no_survey_data,not_original,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,quantitative,,
S0101-33002014000100010,"O cortiço, romance econômico",2014,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002014000100010.xml,72dce3317fc45a95510aa33ed3fb355530bcbce8bd454b47e5fdae6c260ac3a6,Missing/Corrupt,Other,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0101-33002015000100117,QUANTO VALE A ARTE CONTEMPORÂNEA?,2015,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002015000100117.xml,2f0e09fc7a11f2271222a8a1035164259bc5d20da2780fc4042a2155a7bb7e15,Missing/Corrupt,Other,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0101-33002018000200191,BRASIL ANOS 2000: A política social sob regência da financeirização,2018,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002018000200191.xml,7a9c14f756a44be3d4f22017d555a4429e282e05a5c2f2940256c94268bef9db,Missing/Corrupt,Public Policy/Administration,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,essayistic,
S0101-33002019000100006,REVOLUÇÕES NO CAMPO RELIGIOSO,2019,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002019000100006.xml,7c613ddb6043d74cec5c4d46c187a44d88f2d15053716406f7513b69adac0ca9,Missing/Corrupt,Other,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0101-33002020000100019,CONTRIBUIÇÕES PARA A DEFINIÇÃO DOS CONCEITOS PERIFERIA E SUJEITAS E SUJEITOS PERIFÉRICOS,2020,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002020000100019.xml,3457df72226718b41295715e1b20427e3b88ee2ed757349ecf3c3cc8ff39b004,Missing/Corrupt,Other,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0101-33002021000300497,As caixas-pretas de Amós Oz,2021,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002021000300497.xml,1cb5d848cd5652100ac6015428e44b09539d5a60e811fa7ef0e10c6944058d2f,Missing/Corrupt,Other,FALSE,<NULL>,single_country,<NULL>,Israel,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0101-33002022000200231,A PARTE MALDITA: Fernando Henrique Cardoso e as histórias do marxismo no Brasil,2022,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002022000200231.xml,35ff429caa5b402fffd775fea59747e17e070d8c2c47486c88aa420c0398a52d,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,data/processed/sample_xmls/S0101-33002024000300409.xml,03f63984b585d1173b53c51bdfe6f633299b2451f9548771e25468ad58188956,Missing/Corrupt,,,Explain,single_country,single_region,Mexico,no_survey_data,field_study,TRUE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,TRUE,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,explicit,
S0102-64452005000100007,"O 18 Brumário, política e pós-modernismo",2005,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452005000100007.xml,429d937e2aa4a82ef70d4f3121daa83eb54f3fb5f8601236b29040e16c3feb93,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-64452006000300005,Bobbio na história das idéias democráticas,2006,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452006000300005.xml,11eeefacbed519f92615f40ff764ceda1cd53bd9bce5d67f3b6c0ffdcc9962f6,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-64452008000300004,A revolução russa e o sistema internacional,2008,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452008000300004.xml,c94f160a8d213819be03e13c901a7726e0013d0772c19f5d0a6af896ce901146,Missing/Corrupt,International Relations,FALSE,<NULL>,,<NULL>,,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-64452009000100003,As teorias dos movimentos sociais: um balanço do debate,2009,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452009000100003.xml,175a47ba645e8ba4e06931cd8eef92bed73b68cbc0be1d9c729571534f88be78,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-64452010000100004,"Memória e historicidade em dois ""comandos"" prisionais",2010,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452010000100004.xml,dafce05bc0bbe3cfeb49e9b2d028ecb96a9937e393baf88255be84f670e1c8bc,Missing/Corrupt,Other,FALSE,Describe,single_country,single_region,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0102-64452012000300007,Direitos e cidadania: reflexões sobre o direito à cidade,2012,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452012000300007.xml,9a51bdb70cbb1462c7b69a19ea820d70d114291a68df3898bf8eb8db2159eafd,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-64452013000100013,O STF e a agenda pública nacional: de outro desconhecido a supremo protagonista?,2013,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452013000100013.xml,df0a99192bffd05f7691e265e4acd8a9b1d6b8009eb7040e1ea765b7e420c8c8,Missing/Corrupt,Brazilian Politics,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0102-64452014000200007,Política na forma da lei: o espaço dos constitucionalistas no Brasil democrático,2014,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452014000200007.xml,0faf544f14b12cba659bc3c7afdbd71904aea4a33865d467a2f4ffdeb7290946,Missing/Corrupt,Brazilian Politics,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,structure_systematize,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,explicit,
S0102-64452015000100006,O sistema interamericano de direitos humanos e a justiça de transição no México,2015,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452015000100006.xml,38ef9b229132677044616690628b487e4f2023a16bd7c8bb20ad316dd8204e96,Missing/Corrupt,International Relations,FALSE,Explain,single_country,<NULL>,Mexico,no_survey_data,,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,,
S0102-64452016000200021,A EPIDEMIA DE ZIKA E OS LIMITES DA SAÚDE GLOBAL,2016,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452016000200021.xml,8bda8354ed7756a84d437946d352f411d53858f3ebe60eaf1be562bd8e6b824f,Missing/Corrupt,Public Policy/Administration,FALSE,Explain,multiple_countries,<NULL>,<NULL>,no_survey_data,,TRUE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,,
S0102-64452018000300003,"AS ORIGENS MOVIMENTISTAS DE POLÍTICAS PÚBLICAS: PROPOSTA ANALÍTICA APLICADA ÀS ÁREAS DE CRIANÇA E ADOLESCENTE, DIREITOS HUMANOS E SAÚDE",2018,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452018000300003.xml,20a367d45ae5b903cc325d7bcd07dd70fc2da8894b400e4dad13b7d6dc08fdcc,Missing/Corrupt,Public Policy/Administration,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,,
S0102-64452018000300005,GÊNESE DA RELAÇÃO DE PARCERIA ENTRE INCRA E MOVIMENTOS SOCIAIS COMO MODELO PARA IMPLEMENTAÇÃO DE POLÍTICAS DE REFORMA AGRÁRIA,2018,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452018000300005.xml,f22675149b5b529ad75a216a262b429b8124a0af0584f21127a27f3467713c9a,Missing/Corrupt,Public Policy/Administration,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,,
S0102-64452020000200099,A DIVERSIDADE DE AGENTES E AGENDAS NA SOCIOLOGIA DA EDUCAÇÃO NO BRASIL,2020,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452020000200099.xml,c2eddd80f044090431b85523fd0c1508ab9147ce6e6f4f52113dc914c6508d82,Missing/Corrupt,Other,,Describe,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,,
S0102-64452022000100299,"DUAS INTERPRETAÇÕES DO EMPRESÁRIO INDUSTRIAL E DESENVOLVIMENTO ECONÔMICO, DE FERNANDO HENRIQUE CARDOSO",2022,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452022000100299.xml,6d1ac7a30ef5e17fd416b1d210ae29ecced783de6fca2d9a4531d02f8b904fb4,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-64452024000200304,ENTRE A FÉ E A EXPRESSÃO POLÍTICA. ETNOGRAFIA DAS INTERAÇÕES ENTRE PASTORES E FIÉIS EVANGÉLICOS DURANTE AS ELEIÇÕES DE 2022 NO RIO DE JANEIRO,2024,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452024000200304.xml,8d8c0410c72cfc6e1510c5c9478ca37a31ce4342e92a3547f1bfbc35a2cffc96,Missing/Corrupt,Brazilian Politics,FALSE,Explain,single_country,single_region,Brazil,no_survey_data,field_study,TRUE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,explicit,
S0102-64452024000200306,UM BRASIL DIVIDIDO? REFLEXÕES SOBRE A POLARIZAÇÃO POLÍTICA E SOCIAL NO BRASIL CONTEMPORÂNEO,2024,Lua Nova: Revista de Cultura e Política,data/processed/sample_xmls/S0102-64452024000200306.xml,6b28520e38f9732616e29550692bd0da5996b6d20ff336b38654dee8be3e6269,Missing/Corrupt,Brazilian Politics,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,essayistic,
S0102-69092006000100007,Desprovincializando a sociologia: a contribuição pós-colonial,2006,Revista Brasileira de Ciências Sociais,data/processed/sample_xmls/S0102-69092006000100007.xml,6b27ccfa5a9f6b51210cff71286dc4089990bff33ca223d03d78f61f79ad2c88,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-69092006000300006,A sociologia de Gramsci,2006,Revista Brasileira de Ciências Sociais,data/processed/sample_xmls/S0102-69092006000300006.xml,abcc663ca8e2e2665daabe1c933b0ac428a2f2f846629b60e4630e91807feaaa,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-69092008000300012,"Goffman, mal-entendidos e riscos interacionais",2008,Revista Brasileira de Ciências Sociais,data/processed/sample_xmls/S0102-69092008000300012.xml,2ea669937a8d09cb4685126ead9ea2c0da6c3551b33e72000da9d1357a36a45a,Missing/Corrupt,Other,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-69092009000100011,"Élide, Gilberto, imagismo e língua de universidade",2009,Revista Brasileira de Ciências Sociais,data/processed/sample_xmls/S0102-69092009000100011.xml,374abc6a06c413cb3fb2537c150b1e981a6387888e9ae18b6d639fd9bace0d21,Missing/Corrupt,Other,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-69092010000100013,Os fantasmas da memória,2010,Revista Brasileira de Ciências Sociais,data/processed/sample_xmls/S0102-69092010000100013.xml,21cbaa47895fc51e7b45491cf04f9a3359f87704bb85a65f7793d4a54a4f61f1,Missing/Corrupt,Other,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-69092011000100008,Regras de jogo versus regras morais: para uma teoria sociológica do fair play,2011,Revista Brasileira de Ciências Sociais,data/processed/sample_xmls/S0102-69092011000100008.xml,d0c37d51997f31d96ecfa2677c8b62bd5dda93c13dde4c687cb5be86279fe03a,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0102-69092012000200009,Reconsiderando a etnografia da ciência e da tecnologia: tecnociência na prática,2012,Revista Brasileira de Ciências Sociais,data/processed/sample_xmls/S0102-69092012000200009.xml,3c7c63be01157b3face3cbbfbb0045b9db0750169f626d5f059b8f1b2d0c9633,Missing/Corrupt,Methodology and Formal Theory,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,,
